8543450
/m/02778k_
/m/02778k_
Margaret Weis
1993
a 36
abarrach 3
able 1
about 2
abysmally 1
accept 1
accepted 1
access 1
accomplished 1
activate 1
activated 1
actually 2
admits 1
advantage 1
advises 1
afraid 1
after 2
agahran 2
against 5
agree 1
agrees 3
aid 1
air 1
albedo 2
alfred 4
alive 1
all 3
alliance 1
allowed 1
allowing 1
ally 1
along 1
also 5
an 4
and 81
angrily 1
anne 5
annemdash 1
another 1
answering 1
answersmdash 1
anyway 1
apparent 1
are 3
arianus 2
arm 1
arrived 2
as 14
ask 1
asks 2
asphyxiating 1
assassination 1
assassins 1
assigns 1
assistance 1
at 4
attack 1
attacking 1
attacks 1
attain 1
attempt 2
automaton 2
away 2
back 6
bad 1
badly 1
bane 19
base 2
battle 2
be 4
because 4
become 1
been 4
before 6
began 1
begin 2
being 2
believe 1
better 1
between 2
blaming 1
blind 1
blinded 1
blood 1
bloodthirsty 1
bodies 1
body 1
bonds 1
book 1
botches 1
both 5
bouts 1
breaks 1
breathe 1
bring 1
brotherhood 1
but 14
by 17
can 1
capital 1
capitol 1
captain 1
capture 1
captured 2
carries 1
carry 1
carrying 1
cast 1
castle 1
cathedral 3
causing 1
center 3
certainly 1
chamber 1
chance 1
chaos 1
chaotic 1
chases 1
chelestra 1
child 3
ciang 2
clan 1
clearly 1
coconspirator 1
come 1
commanded 1
compel 1
compelled 1
condition 1
confusion 1
considering 1
considers 1
contemplates 1
continue 1
contract 2
contracted 1
contractmdash 1
control 2
conversing 1
correct 1
could 1
council 1
crewers 1
crippled 2
cruel 1
dallas 1
damned 1
daughter 2
dead 5
death 4
debbie 1
decides 3
defeated 1
defense 1
deliberately 1
demands 1
derailed 1
determined 1
did 2
diedmdash 1
dirty 1
disguised 1
dismay 1
distinctive 1
do 4
does 2
doesnt 4
dog 2
done 1
down 1
dragon 3
dragons 1
dragonship 2
dragonsnake 2
dragonsnakes 6
draknor 1
drevlin 3
drevlinmdash 1
drive 1
drops 1
drunk 1
dwarf 4
dwarven 2
dwarves 9
easilytravelled 1
elf 1
elven 9
elves 9
elvish 2
emperor 3
encouragement 1
end 1
enlist 1
enough 1
ensure 1
entire 2
equal 1
escape 1
especially 1
even 1
ever 1
everyone 2
evidently 1
exchange 1
explains 1
eye 1
eyes 2
factree 2
fail 1
failed 1
family 2
fate 1
fear 1
feel 1
fellow 1
few 1
fields 1
fight 1
fighting 1
final 2
finally 2
find 5
finds 3
finish 1
finished 1
first 2
flees 1
foment 1
fomented 1
foolish 1
for 18
forbidden 1
force 1
forces 2
forgets 1
form 2
former 1
fortnight 1
fought 1
found 1
four 1
free 1
from 8
froman 1
gate 3
gegs 1
get 2
gibberish 1
give 4
glasses 2
