16782931
/m/0405zf6
/m/0405zf6
Kate Thompson
1994
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 16
about 4
above 1
absence 1
advice 1
after 1
afterlife 1
age 2
agrees 1
all 2
allowing 1
almost 2
also 1
alternative 1
american 1
an 5
and 19
animal 2
appease 1
approaching 1
arctic 3
are 4
area 1
armed 1
as 11
ashes 1
attacking 1
attacks 1
attempts 1
aware 1
away 1
back 1
bears 1
because 2
become 2
becomes 1
been 2
before 1
begin 1
begun 1
being 1
birds 1
birthday 1
blast 1
body 1
bomb 1
bombsite 1
book 1
boy 1
breath 1
brought 1
bus 1
but 2
by 6
called 1
can 1
caught 1
causing 1
changes 1
city 2
claims 1
clear 1
closed 1
comes 1
comfortable 1
considerable 1
considers 1
constantly 1
consume 1
continue 1
creatures 2
dawn 1
death 1
destroy 1
die 1
died 1
do 1
does 1
down 1
downside 1
dragon 1
dream 1
drilling 1
dublin 2
during 2
earth 1
elderly 1
ends 1
enormous 2
entire 1
escaping 1
evade 1
ever 1
every 1
excursion 1
existed 1
exists 1
expected 1
explains 2
explosion 3
extinct 1
faith 1
favour 1
few 1
fiery 1
fifteen 3
fifteenth 1
find 1
finds 2
fly 1
focussed 1
follow 1
follows 2
for 3
form 2
former 1
forms 1
friend 1
from 3
gets 1
gone 1
had 1
has 2
have 7
having 1
he 6
helicopter 1
help 1
her 9
here 1
hibernation 1
him 1
home 2
house 1
however 4
hunger 1
ice 1
icedwelling 1
imagination 1
immense 1
in 12
increasingly 1
into 5
ireland 1
is 11
isnt 1
isolated 1
it 2
its 2
joined 1
journey 1
kevin 13
killed 1
killing 1
know 1
knowledge 1
krool 2
krools 2
late 1
leap 2
life 1
lizzie 4
lonely 1
lose 1
lower 1
made 1
make 1
makes 1
mammoths 2
meaning 1
melt 1
military 1
millennialong 1
mind 1
missiles 1
mistaking 1
months 1
more 3
move 1
moved 1
much 1
named 2
napalm 1
nature 1
nearly 1
need 1
new 1
next 1
night 1
not 6
notice 1
now 5
of 12
off 1
oil 1
on 2
once 3
one 1
only 1
option 1
or 1
over 2
overjoyed 1
own 1
owned 1
parents 1
passes 1
permanently 1
phoenix 2
phoenixes 1
planet 1
polar 1
position 1
possibilities 1
power 2
powers 1
prepares 1
prodding 1
pursue 1
realizes 1
rears 1
recent 2
recently 1
resolves 1
rest 1
returning 1
returns 2
reveals 2
rise 1
roused 1
school 1
seconds 1
sees 2
several 2
shapeshift 1
she 9
sky 1
slugs 1
slumber 1
snowstorms 1
so 3
solitude 1
something 1
soon 1
speaks 1
stop 2
such 1
sudden 1
suddenly 1
suit 1
survive 1
swallow 1
swept 1
swerve 1
swim 1
switch 2
switcher 3
switchers 1
switching 3
temperature 1
tess 12
than 1
that 8
the 32
their 6
them 6
themselves 2
there 1
therefore 1
these 1
they 13
think 1
this 3
through 1
thus 1
time 2
to 26
together 1
too 1
transform 1
troubled 1
turns 2
two 2
ufos 1
unfortunately 1
until 3
up 2
upset 1
visited 1
waits 1
wakeful 1
warplanes 1
was 2
whales 1
what 3
when 3
where 2
whether 1
which 3
while 1
who 3
will 1
with 5
world 2
years 1
