7922306
/m/026k6wl
/m/026k6wl
André Franquin
1955
a 1
adventure 1
africa 1
after 1
an 1
and 3
another 1
are 1
at 1
baptised 1
been 1
blueprints 2
body 1
but 1
by 1
called 1
car 3
celebrate 1
competitors 1
complete 1
dated 1
designed 1
driver 1
employers 1
et 1
fantasio 2
find 1
first 1
for 1
friend 1
from 2
given 1
has 1
have 1
horn 1
hritiers 1
in 2
initially 1
irritating 1
its 1
journalist 1
les 1
martin 2
missing 1
murderous 1
natives 1
nothing 1
of 3
order 1
part 1
partner 1
plans 1
portrayals 1
priceless 1
prototype 1
racecar 1
rather 1
regions 1
reluctantly 1
rescue 1
retrieve 1
retrieving 1
revolutionary 1
rhino 1
roulebille 3
search 1
seccotine 1
several 1
so 1
spectacular 1
spirou 3
steal 1
stop 1
takes 1
team 1
that 1
the 10
their 2
them 1
thugs 1
titular 1
to 4
turbot 1
turbotrhino 1
two 1
ultimately 1
up 1
very 1
who 1
will 1
with 2
woman 1
wounded 1
young 1
