9118313
/m/027y9zg
/m/027y9zg
William Sleator

11yearold 1
4 1
a 4
after 1
again 2
against 1
all 1
alter 1
always 1
an 1
and 2
another 1
any 1
at 1
attempts 1
back 2
be 1
before 1
boy 1
by 4
car 2
catastrophe 1
chance 3
changes 1
character 1
death 1
destined 1
dies 2
does 1
doing 1
drove 1
events 1
eventually 1
family 1
first 1
funeral 1
future 1
given 2
go 1
goes 1
has 1
he 14
hears 1
him 4
himself 2
his 8
hits 1
however 1
impress 1
in 1
instead 1
is 4
it 3
kill 1
killed 1
knowledge 1
last 1
like 1
likes 1
luckily 1
main 1
manages 1
moment 1
mysterious 1
neighbor 1
nice 1
odds 1
of 1
one 1
out 1
parents 2
peter 2
preventing 2
puppet 1
putting 1
quarrel 1
recalls 1
save 2
set 1
show 1
so 1
stage 1
start 1
starts 1
strategy 1
sugar 1
taxi 1
tells 1
that 4
the 8
then 1
therefore 1
they 1
this 2
time 2
to 9
tries 1
truck 1
trying 1
unfortunately 1
voice 1
was 2
weeks 1
when 1
where 1
with 1
yet 1
