6238896
/m/0fybzj
/m/0fybzj
Forrest Carter
1976
120s 1
a 8
about 1
according 1
add 1
after 1
age 1
american 1
an 1
and 18
as 3
at 4
be 2
begin 1
book 5
boy 2
briefly 1
by 1
call 1
called 1
care 1
caretakers 1
carter 2
catchy 1
centers 1
cherokee 4
child 1
christians 1
city 1
clever 1
combination 1
comes 1
companion 1
death 1
deaths 1
decreases 1
demands 1
detail 1
devices 1
die 2
dies 2
dramatically 1
during 2
each 1
education 1
encounters 1
encouragement 1
end 2
ends 1
eventually 1
exchange 1
experience 1
expose 1
farming 1
farms 1
few 1
fiction 1
fictional 1
fifth 1
five 1
food 1
for 2
forces 1
forrest 1
frequently 1
friend 1
from 2
gentle 1
given 1
grandfather 1
grandpa 1
grandparents 3
granma 2
granpa 4
guidance 1
guvmint 1
he 3
heads 1
him 2
his 6
hollow 2
home 2
hounds 1
ignorance 1
in 4
including 1
independent 1
indians 1
into 2
introduction 1
is 4
its 1
john 2
know 1
last 1
late 1
law 1
lessons 1
life 2
little 10
love 1
making 1
man 1
me 1
memoirs 1
months 1
moonshine 1
mountain 3
named 1
native 1
natural 2
nature 1
new 1
notices 1
of 12
on 2
one 2
operation 1
opinion 1
originally 1
other 1
outsiders 1
over 1
overlap 1
pace 1
paragraphs 1
parents 1
peaceful 1
people 1
phrased 1
place 1
politicians 1
prejudice 1
prohibition 1
protagonist 1
reasonable 1
relationship 1
remote 1
repeated 1
rescued 1
residential 1
runs 1
school 4
scottishcherokee 1
shelter 1
short 1
slickers 1
small 1
society 1
speeds 1
spirit 1
starting 1
state 1
statements 1
stays 1
story 2
such 1
suffers 1
supposed 1
syntactic 1
takes 1
teach 1
tenth 1
the 28
to 8
toward 1
tree 10
types 1
unhappiness 1
up 1
uses 1
values 1
various 2
visitors 1
wales 1
was 1
ways 2
west 1
when 2
where 1
which 2
whiskey 1
willow 2
with 5
withdrawn 1
word 1
works 1
world 1
years 2
