27601102
/m/0c3y6p9
/m/0c3y6p9
Cherie Priest
2009
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction"}
a 13
affected 1
after 1
again 1
against 1
ago 1
airship 1
alaska 1
america 1
american 3
an 3
and 17
anxious 1
any 1
anyone 1
area 1
argument 1
as 1
attack 2
attacked 1
attracts 1
bar 2
barkeeper 1
battle 2
be 3
before 1
behind 1
believed 1
between 1
bicycles 1
blight 1
blocks 1
blue 8
body 1
boneshaker 4
boneshaking 1
breaks 1
breaths 1
briar 12
brought 1
building 1
but 3
by 6
can 2
captain 2
caused 1
causes 1
city 2
civil 1
claims 2
cly 1
collapses 1
collar 1
comes 1
commission 1
complicating 1
condition 1
contain 1
corpses 1
create 1
critical 1
dangerous 1
day 1
dazer 1
deceased 1
decorated 1
demanding 1
destroys 1
destruction 1
difficult 1
distracts 1
doesnt 1
doozy 1
doubts 1
downtown 1
drainage 1
drill 1
early 1
earthquake 1
efforts 1
elude 1
embrace 1
encounter 1
engine 1
enters 1
era 1
erected 1
escape 1
escapes 1
eventually 1
everyone 1
evidence 1
exit 1
ezekiel 1
father 2
flee 1
following 1
for 2
forcing 1
former 3
found 2
gas 2
gold 1
grudge 1
has 1
have 1
he 5
heated 1
help 1
her 9
herself 1
highly 1
him 6
his 6
hitches 1
hold 1
hole 1
home 1
honor 1
hostage 1
house 1
however 2
husband 1
ice 1
impoverished 1
in 8
including 1
incredible 1
indian 2
innocent 1
inside 1
instead 1
intends 1
intentional 1
into 1
inventor 1
investors 1
is 11
it 2
jeremiah 1
job 1
killed 1
killing 1
kills 2
klondike 1
later 2
lead 1
leading 1
leads 1
leaving 1
left 1
leviticus 7
lieutenant 1
life 1
lightly 1
live 1
loot 1
lucy 3
machine 1
make 1
man 2
manage 1
manages 1
meanwhile 1
meet 1
meets 1
men 1
metropolis 1
mine 1
minnericht 6
mocks 1
mother 1
mummified 1
named 3
native 1
nonsupernatural 1
north 1
northwest 1
nowhere 1
occupants 1
of 16
ogunning 1
old 1
on 1
once 1
one 1
or 1
out 1
outskirts 1
over 1
pacific 1
pair 1
parent 1
part 1
people 1
physically 1
princess 2
prospectors 1
proving 1
releases 1
renounces 1
rescued 1
residence 1
retreat 1
reunite 1
reunites 1
revealed 1
ride 1
roof 1
rotter 1
rotters 4
rudy 3
rumors 1
russian 1
russianowned 1
search 1
seattle 3
see 1
several 1
she 5
short 1
shows 1
sixteen 1
slits 1
some 2
son 3
still 1
subterranean 1
support 1
surface 1
swakhammer 3
taken 1
takes 2
tall 1
tells 2
that 5
the 27
them 1
then 1
they 2
this 2
throat 1
through 1
to 24
toxic 1
tried 1
tries 1
turns 1
unbeknownst 2
unconscious 1
unnaturally 1
vein 1
wall 2
war 1
what 1
where 1
which 3
while 1
who 3
wife 1
wilkes 1
with 2
within 1
woman 1
working 1
wouldbe 1
wounds 1
years 2
zeke 9
zombies 1
