6929460
/m/0gxjy9
/m/0gxjy9
Anthony Horowitz

{"/m/01jfsb": "Thriller", "/m/01hmnh": "Fantasy", "/m/08sdrw": "Adventure novel"}
a 22
about 4
accidents 1
adams 1
affirms 1
after 4
afterwards 1
again 1
against 1
ago 1
agrees 1
aim 1
airplane 1
alicia 9
all 1
already 1
always 1
an 5
and 50
angeles 1
anyone 1
apparent 1
are 6
arrow 1
as 4
asleep 1
assassin 1
assassination 2
associated 1
at 7
auburn 2
awakens 1
back 5
backstory 1
baker 1
ballots 1
bane 1
banes 5
banished 2
battle 1
be 3
became 1
because 1
become 1
becomes 2
begins 1
being 4
between 2
bid 1
birthday 1
body 1
bodyguard 1
book 1
boss 1
break 1
bring 2
brother 2
brothers 1
built 1
bullet 1
but 7
by 9
called 3
calls 1
candidate 1
captured 1
car 1
cave 1
centre 2
chambers 1
chaos 1
charles 1
church 1
clairvoyant 1
clear 1
colton 3
coma 1
come 2
commands 1
confinement 2
congregate 1
control 1
controlled 1
convince 1
convincing 1
cornfeld 1
cornfield 1
corporation 2
could 1
counterpart 1
creek 4
crime 1
crowd 1
cuzco 1
daniel 6
danny 3
dead 1
death 1
decides 1
defeated 1
demands 1
desert 1
desperate 1
different 1
do 1
does 1
domingo 1
don 1
doorway 1
down 1
dream 1
during 2
each 1
eagle 1
earlier 1
election 1
emerge 1
england 1
escape 4
evil 1
exactly 1
examined 1
except 1
exhibiting 1
explains 2
fails 1
falls 1
false 1
farewell 1
father 1
feather 5
field 1
fight 1
finally 1
find 6
finds 2
first 1
five 3
for 6
foster 3
found 1
four 1
friend 1
from 4
future 1
futurepast 1
gate 4
gatekeeper 1
gatekeepers 5
generations 1
get 2
given 1
gives 1
go 2
goes 1
going 2
grey 1
guard 1
gun 1
had 2
has 7
having 1
he 25
height 1
held 1
helicopter 1
help 4
hence 1
her 6
herself 1
hidden 1
him 13
himself 1
his 15
hit 1
home 1
hong 1
house 2
hovey 1
however 3
humanity 1
hurry 1
i 1
identical 1
identity 1
immediately 1
in 22
incidents 1
indian 1
inexplicable 1
into 2
introduces 1
is 25
it 5
jamie 27
john 3
johnson 1
just 1
juvenile 2
kidnap 1
kidnapped 2
kill 2
killed 2
kills 1
king 1
knew 1
knowledgeable 1
kong 1
koring 2
kyle 1
lake 1
lead 1
leader 2
left 1
letting 1
life 1
like 1
location 1
looks 1
los 1
lost 1
magic 1
magnetic 1
man 1
manages 3
matt 9
max 1
means 1
meanwhile 1
meet 3
meets 1
member 1
men 3
message 1
mind 1
minds 1
mistakenly 1
mistaking 1
mortlake 3
most 1
murders 1
my 1
mysterious 1
name 1
named 1
names 1
natalie 1
nazca 1
neutralizes 1
nevada 1
nexus 1
night 2
nightrise 6
not 2
obviously 1
occur 1
of 16
off 1
old 6
on 5
one 3
ones 6
only 4
opened 1
opening 1
option 1
or 1
order 1
original 1
originally 1
other 2
out 6
outside 1
parade 1
parent 1
parents 2
part 1
participates 1
parting 1
pedro 3
person 1
persuades 1
peru 2
place 3
plan 1
policemen 1
popular 1
powers 6
prefer 1
present 2
presidency 1
president 1
previous 1
prison 1
professor 1
pulse 1
purpose 1
pursued 1
put 1
puts 1
raven 1
read 2
realize 2
realized 1
realizes 2
refused 1
reno 2
rescued 1
resulting 1
return 1
reunite 1
reveals 1
richard 3
rigged 1
rudeness 1
running 1
runs 2
same 3
santo 1
sapling 1
save 1
says 1
scarlett 2
scott 14
second 2
secretly 1
seeing 1
seek 1
seemed 1
sees 2
sells 1
send 1
sent 1
shaman 1
she 2
shoots 1
shot 1
should 1
shoulder 1
show 1
side 1
silent 4
solitary 2
some 1
son 2
special 1
spoken 1
stop 2
story 1
strange 1
sucked 1
supervisor 1
support 1
susan 2
suspected 1
tahoe 1
take 4
takes 3
tattoo 2
telepathic 2
tell 1
telling 1
tells 5
ten 1
that 21
the 58
theatre 2
their 5
them 5
then 3
there 4
these 1
they 4
think 1
thinking 1
thinks 1
this 3
thought 1
thousand 1
throughout 1
time 2
to 48
together 1
too 2
tortured 1
town 1
transported 1
travels 1
trelawny 7
tribe 1
tries 1
twin 1
twins 4
two 2
tyler 1
unconscious 1
until 1
up 2
use 2
uses 1
waiting 2
wakes 1
wanted 1
war 1
warren 1
was 6
way 2
ways 1
weird 1
went 1
were 1
what 1
when 5
where 5
which 2
whilst 1
white 1
who 8
why 1
will 2
with 10
woman 2
won 1
work 3
works 1
world 2
would 3
wouldbe 1
years 1
your 1
