17642903
/m/0466cxc
/m/0466cxc
Frank McGuinness


143 1
a 1
across 1
after 1
alec 1
also 1
american 1
an 1
and 7
anna 1
are 3
army 1
asked 1
before 1
border 2
both 1
brother 1
buncrana 1
but 1
by 1
clashes 1
creep 1
deeply 1
derry 1
dolly 3
during 2
elder 1
elderly 1
emergency 1
english 1
esther 2
favour 1
first 1
fleeing 1
for 1
foreigners 1
former 1
her 3
home 1
house 3
household 1
housemaid 1
husband 1
identity 1
in 5
into 2
invited 1
ireland 2
irish 2
is 5
issues 1
italy 1
jamie 1
jealousy 1
junior 1
justin 2
kitchen 1
living 1
love 1
lover 1
loyalty 1
marco 1
mother 1
nationalistic 1
ned 1
neutrality 2
northern 1
of 6
officer 2
on 1
other 1
over 1
play 1
questions 1
rima 2
runs 1
second 1
set 1
sexual 1
she 1
sister 1
small 1
soldiers 1
soon 1
the 16
three 1
town 1
two 1
war 2
west 2
when 1
with 1
world 1
younger 1
