12512922
/m/02w9t8f
/m/02w9t8f
Caroline Lawrence
2006
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
80 1
a 16
about 3
accept 1
activity 1
ad 1
adults 1
adventure 1
adventures 1
ages 1
air 1
all 1
also 2
amateur 1
an 3
and 17
angrily 1
another 1
are 3
argentaria 1
as 7
assigns 1
at 3
attempt 1
bachelors 2
back 2
baiae 2
be 2
because 1
been 2
before 1
behavior 2
behind 1
betrothal 1
betrothed 1
bringing 1
built 1
but 4
by 5
calls 1
can 2
certain 1
charismatic 1
cheats 1
childhood 1
children 1
choice 1
closer 2
colossus 1
come 1
commit 1
conclusion 1
confronts 1
consider 1
consistent 1
consulting 1
convinced 1
convinces 1
correct 1
cup 1
daughter 2
decides 1
deciding 1
depart 1
depictions 1
despair 1
despite 1
determined 1
difference 1
disquieting 1
distraught 1
do 1
does 1
doing 1
dose 1
draws 1
dreamed 1
driven 1
drown 1
each 2
effects 1
employed 1
end 1
ends 1
enjoy 1
even 2
ever 1
exchanges 1
excuses 1
expert 1
explicit 1
fact 1
faint 1
fall 2
famous 1
father 7
favorable 1
felix 5
female 1
find 1
first 1
flaccus 2
flavia 12
flustered 1
for 8
forget 1
four 1
fresh 1
friend 1
friends 4
from 5
furious 1
gaius 2
gemina 1
get 1
getting 1
girls 1
goingson 1
gradually 1
growing 1
guests 1
halfhearted 1
halfheartedly 1
happen 1
harsh 1
has 11
have 2
he 1
heard 1
help 2
helping 1
hemlock 3
her 20
herself 3
hide 1
him 5
himself 1
his 9
honestly 1
houseguests 2
how 1
however 1
hurry 2
husband 1
idea 2
idolized 1
if 1
ill 1
imagined 1
implicit 1
impression 1
in 15
include 1
incredibly 1
infidelities 1
innocent 1
inquisitive 1
instead 1
interpretation 1
into 1
investigation 1
invitation 2
invite 1
is 16
isolated 1
it 4
its 1
jonathan 2
june 1
kiss 1
laced 1
lawyer 1
laying 1
leaves 1
lethal 2
lets 1
letter 2
lie 1
like 1
locusta 4
long 1
love 2
loved 1
lupus 1
luxurious 1
make 2
makes 1
male 1
many 1
marcus 1
marriage 1
married 1
matchmaking 1
material 1
meets 1
member 1
mend 1
might 1
month 1
mother 2
moves 1
much 1
must 1
nature 1
nearby 1
nero 1
new 2
no 4
nonexistent 1
not 1
novel 2
now 1
nubia 1
nurses 1
obey 1
obvious 1
of 18
on 5
once 1
one 2
only 1
or 2
ordering 1
other 1
others 1
out 3
over 1
overhear 1
own 1
packet 1
parents 2
part 1
party 1
past 1
plea 1
poison 4
poisoner 3
poisoning 2
polla 6
pollius 1
possible 1
pretext 1
private 1
publius 1
pulchra 8
purportedly 1
purposes 1
put 1
receives 1
regularly 1
relationship 1
remember 1
repeated 1
repulsed 1
research 1
resistance 1
rest 1
return 1
reveal 1
rhodes 1
romance 1
rome 1
runs 1
saddened 1
says 1
scandalous 1
scolding 1
sea 2
secret 1
see 1
seems 1
selfish 1
senator 1
several 1
sexual 1
shared 1
she 16
shine 1
shows 1
slave 1
so 1
some 2
someone 1
somewhat 1
son 1
spend 1
steals 1
still 2
study 1
suddenly 1
suetonius 1
suicide 2
surprise 2
surrentum 1
surveillance 1
suspect 1
suspects 2
swallow 1
swimming 1
symptoms 1
takes 1
team 1
telling 2
tells 1
thank 1
that 10
the 38
their 5
them 1
then 2
there 2
they 3
thick 1
this 2
though 2
three 3
time 1
to 33
town 1
tranquillus 6
trap 1
trying 3
turns 2
two 1
up 2
used 1
valerius 1
villa 4
voyage 1
wait 1
wanting 1
was 1
watch 1
watches 1
way 1
when 2
whenever 1
whether 1
which 2
while 1
whilst 1
who 4
widows 3
wife 3
wilder 1
willingness 1
wine 1
with 7
women 1
won 1
wounded 1
young 6
