396639
/m/023cpd
/m/023cpd
Ralph Ellison
1952
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/01jym": "Bildungsroman", "/m/03nhxh": "Social commentary"}
100 1
a 48
about 5
acquired 1
action 2
activities 1
actually 1
adapted 1
address 1
advice 1
after 7
afternoon 2
agreeem 1
agrees 1
alcohol 1
alive 1
allblack 1
alone 1
already 2
also 1
among 1
an 9
and 28
angrily 1
another 2
any 2
apartment 1
approached 1
are 3
arent 1
arguments 1
arrest 1
arrive 1
arriving 1
as 4
at 9
attacked 1
attacks 1
attempt 2
attempts 1
average 1
barbee 1
bars 1
based 1
battle 1
be 3
because 1
become 2
been 1
beginning 1
being 1
believed 1
believes 1
believing 1
betterment 1
beyond 2
black 8
blacks 1
blast 1
bledsoe 6
blind 1
blindingly 1
boiler 3
booker 1
boys 2
break 1
briber 1
brockway 4
brokers 1
brother 1
brotherhood 8
brotherhooda 1
brothers 1
brutal 1
buildings 1
buildingtops 1
but 5
buying 1
by 13
cabin 1
called 4
calls 2
campus 3
carried 1
cause 1
causing 1
chance 1
change 2
chapter 1
charge 1
chauffeurs 1
city 1
claims 1
clandestine 1
clearly 1
clifton 3
coal 1
coalfilled 1
college 3
colorblind 1
come 1
committed 1
communist 1
community 2
company 2
conditions 1
confront 1
confronted 1
continues 1
controlled 1
copy 1
cost 1
could 3
count 1
couple 2
criticized 1
crowd 1
crumbling 1
dancing 1
daughter 1
day 1
dead 1
death 2
decides 1
decrying 1
dedicated 1
delivers 1
demons 1
destroyer 1
destruction 1
dignitaries 1
disappeared 1
discussing 1
discussion 1
disguises 1
disillusioned 1
disorders 1
distributes 1
dizziness 1
do 1
doctors 1
does 1
dolls 1
downtoearth 1
dr 1
during 1
dying 1
earn 1
edge 1
either 1
elderly 1
eloquent 1
encounters 2
end 1
entire 1
escape 1
escapes 1
escaping 1
eventually 2
eviction 1
exhorter 2
expels 1
explode 1
extent 1
extremely 2
eye 1
factory 1
faint 1
faints 1
falling 1
fanatical 1
far 1
fatally 1
feels 2
fervently 1
fight 1
figure 1
finally 2
finds 1
first 3
flies 1
folk 1
for 8
forced 1
former 1
forthe 1
founder 1
friends 1
from 3
funeral 2
gambler 1
gang 1
garvey 1
get 2
gets 2
give 1
gives 3
giving 1
glass 1
go 1
goes 1
golden 1
graduation 1
grandfather 1
grins 1
group 1
had 2
halfblind 1
happened 1
happens 1
happy 1
harlem 10
has 10
hat 1
have 2
having 1
he 26
health 1
hear 1
hearing 1
hell 1
help 1
her 1
high 1
him 29
himself 1
hipster 1
his 17
history 2
homer 1
hospital 1
hospitalized 1
how 1
however 2
humiliations 1
i 1
identity 1
impassioned 1
implores 1
important 1
in 25
incest 1
indeed 1
individuals 2
individualthis 1
inside 1
instead 1
intentions 1
interest 1
into 2
invisible 2
invites 1
is 21
it 6
its 3
jack 5
jaw 1
jim 1
job 4
join 1
junior 1
kind 1
know 1
leader 2
learn 1
learns 1
leaving 1
lecture 1
letter 1
letters 2
letting 1
life 1
like 2
lives 1
living 1
local 2
look 2
looters 1
loses 1
lover 1
loyal 1
lucius 1
lynched 1
made 1
makes 1
making 2
man 4
manholebasement 1
marcus 1
mary 2
mean 1
meaning 1
meeting 3
member 1
members 1
membership 2
men 1
mental 2
mind 1
mismanaged 1
mistaken 1
mixed 1
mocking 1
model 1
modeled 1
money 1
monuments 1
more 1
mother 1
movement 1
mr 2
named 1
narrator 31
nationalist 1
nearby 1
need 1
neighbors 1
neither 1
never 2
new 4
night 1
no 2
nonetheless 1
norton 6
not 3
notbut 1
nothingthey 1
novel 1
now 2
object 1
occur 1
of 39
off 1
officer 1
old 1
oldfashioned 1
on 8
once 2
one 3
opened 1
opening 1
optic 1
organization 1
other 2
out 5
outraged 1
over 1
overcomeem 1
overhears 1
overt 1
overwhelmed 1
own 1
owner 1
paid 1
paint 2
paranoid 1
part 1
partythat 1
patient 1
patients 1
patronized 1
people 1
performed 1
permanently 1
personal 1
pity 1
place 1
please 1
police 2
political 2
possibilities 1
power 1
powerful 1
pregnant 1
preservation 1
president 1
presumably 1
probably 1
problems 1
put 1
question 1
quit 1
rallies 1
rallying 1
ras 7
ravaged 1
reaching 1
reaction 1
ready 1
real 1
realizes 3
really 1
reassign 1
reclaim 1
recommendation 1
recovering 1
relatives 1
reminds 1
render 1
renowned 1
repair 1
residence 2
resisting 1
resurface 1
retaliates 1
return 4
returns 2
reveals 1
reverend 2
rich 1
rid 1
rights 1
rinehart 2
riotous 1
riots 1
room 2
rousing 1
royal 1
sacrificedrendered 1
safety 1
sambo 1
scandalous 1
scenarios 1
scene 1
scholarship 1
school 2
scientific 1
sealing 2
seduces 2
seem 1
seen 1
sees 1
selfabusive 1
selling 1
sent 1
series 1
sermon 1
serves 1
several 3
she 2
shock 2
shot 1
should 1
shows 1
similar 1
slavequarters 1
sleepcommitted 1
small 2
smoothly 1
so 1
society 1
socket 1
somewhat 1
son 2
soon 4
south 2
spear 1
speech 3
spite 1
stage 1
stands 1
statement 1
stimulant 1
stopping 1
story 2
storytelling 1
street 1
streets 1
struggles 1
student 1
success 1
suffering 1
suggestion 1
sunglasses 1
support 1
supposed 1
supposedly 1
swayed 1
sybil 1
t 1
take 3
taken 2
takes 2
tavern 1
telling 1
tells 2
temper 1
than 1
that 17
the 109
their 1
there 1
therefore 1
these 2
they 3
thinks 1
thinlyveiled 1
this 3
thought 1
thriving 1
through 4
throwing 1
time 1
to 48
tod 3
too 2
town 2
trailed 1
trap 1
treatment 1
treatments 1
tricks 1
trouble 1
trueblood 2
trustee 1
trustees 1
trying 1
turning 1
tuskegee 1
undermineem 1
underside 1
understanding 1
unfortunately 1
unintentionallyin 1
union 1
university 1
unnamed 1
until 1
up 1
upholder 1
uplifted 1
upon 4
us 1
used 1
valedictorian 1
valve 1
version 1
veterans 1
vision 2
visit 1
visiting 1
wandering 1
want 1
war 1
warrelated 1
washington 2
washingtoncomes 1
washingtoninspired 1
what 1
when 6
where 2
which 1
while 2
white 9
whites 1
who 9
whom 2
widespread 1
wife 2
will 1
with 7
woman 1
women 2
wonder 1
words 1
work 1
world 2
worries 1
wrong 1
year 1
yes 1
yeses 1
york 2
youth 1
