5297160
/m/0dd5qz
/m/0dd5qz
Mark Winegardner
2006-11-07
{"/m/0lsxr": "Crime Fiction"}
a 14
about 1
adams 1
against 2
aged 1
agent 1
agrees 2
al 1
alligator 1
along 1
also 3
an 3
analogous 2
and 11
anthony 2
apparition 1
arrest 1
arrives 2
as 2
asks 2
assassinated 1
at 2
attorney 1
away 1
baby 1
back 1
barone 3
because 1
before 1
beginning 1
begins 1
beyond 1
bodyguards 1
book 1
boss 1
brasi 1
briefly 1
brother 3
but 1
by 4
caporegime 1
carlo 2
causes 1
cave 1
child 1
chronic 1
chrzestnego 1
church 1
cia 1
clear 1
colombia 1
coming 1
commission 1
comprehend 1
connie 1
consigliere 1
contacts 2
containing 1
corleone 5
corleones 1
coup 1
crime 1
cuban 1
daily 1
daniel 2
dated 1
de 1
dead 1
death 2
declares 1
del 1
delivers 1
deported 1
depose 1
depressed 1
diabetes 1
dies 1
disarray 1
doesnt 1
don 2
dream 1
drowns 1
due 1
eddie 1
elected 1
erie 1
esel 1
everglades 1
executes 1
execution 1
exwife 1
eye 1
f 2
failing 1
family 1
father 1
final 1
florida 2
following 2
for 4
former 1
fredo 4
friend 1
from 1
general 1
geraci 10
get 1
gets 2
give 1
grabs 1
grace 1
greco 1
greek 1
guilt 1
gun 1
had 3
hagen 5
hair 1
has 6
having 1
he 15
head 2
help 2
helps 1
highway 1
him 8
his 24
how 1
however 1
ice 1
if 1
illegitimate 1
implicated 1
in 13
influence 2
information 1
informs 1
injures 1
ins 1
insomnia 1
into 3
introduced 1
is 9
island 1
it 1
itla 1
jimmy 1
joe 2
john 1
kay 2
kennedy 2
killed 1
knows 1
la 1
lake 1
life 1
longtime 1
love 1
loyalty 1
luca 1
lucadello 2
made 1
mafia 1
mdash 1
meanwhile 3
meet 1
meets 3
message 2
michael 14
mistress 1
momo 3
mortally 1
murder 4
named 1
national 1
native 1
natural 1
neri 1
never 1
new 1
nick 4
novel 3
of 8
off 1
ojca 1
old 1
on 4
one 1
orchestrated 1
ordered 1
ordering 1
orders 1
original 1
orleans 1
outlines 1
over 2
overthrow 1
package 1
padrino 2
paradise 1
part 1
people 1
personal 1
pick 1
plots 1
plzemsta 1
president 1
process 1
professional 1
promises 1
protestant 1
prove 1
provides 1
raid 1
rammed 1
ready 1
real 1
realizes 1
realizing 1
reason 1
relationship 1
reopen 1
restaurant 1
reunites 1
revenge 4
rita 1
robert 1
routine 1
same 1
scene 1
sends 1
sent 1
shea 3
shoot 1
shooting 1
shoots 1
shot 1
similar 1
sister 1
son 1
sonny 1
sought 1
staten 1
still 1
story 1
stracci 3
style 1
suffers 1
suggests 1
survival 1
syndicate 1
take 1
tells 1
that 5
the 26
then 2
threat 1
thrown 1
throws 1
time 1
title 1
to 16
tom 2
tramonti 4
trap 1
tries 1
truth 1
turned 2
two 1
ultimately 1
under 1
underground 1
up 1
vendetta 1
venganza 1
vote 1
votes 1
walked 1
wallet 1
wanted 1
war 1
warns 1
was 4
when 1
which 3
while 1
white 1
who 6
whom 2
with 9
worsened 1
wounded 1
years 1
