10311041
/m/02q83_k
/m/02q83_k
Lisa Yee
2005-10-01

a 13
about 1
affection 1
after 2
age 1
alan 1
all 2
alone 1
along 1
also 1
always 1
an 2
and 16
angrily 1
any 1
apart 1
apparently 1
archenemy 1
are 1
as 5
asleep 1
at 3
bad 2
basketball 5
beautiful 1
became 1
because 8
become 1
becomes 2
been 1
believes 1
best 1
bk620s 1
blackmail 1
blackmails 1
book 3
boss 1
both 1
bound 1
but 5
by 2
camp 2
cheek 1
child 1
class 1
classmate 1
closer 1
colors 1
continues 1
cover 1
dad 1
dating 1
day 1
dead 1
depression 1
descends 1
deteriorates 1
didnt 1
digger 3
discovers 1
distance 1
distant 1
doesnt 2
ebers 1
eleven 1
emily 10
end 1
ends 1
english 4
enough 1
even 1
every 1
everything 1
f 1
failed 1
fallen 1
falls 2
family 1
father 3
feeling 1
fight 1
flying 1
for 5
forgive 1
forgives 1
form 1
free 1
friend 1
friends 3
friendship 1
from 3
funloving 1
genius 1
getting 1
girl 1
glick 1
goes 1
going 2
got 2
grade 1
grandmother 1
granted 1
gus 1
guys 1
had 1
hands 1
hard 1
harder 2
has 1
hates 2
have 4
he 20
hell 1
her 3
high 1
him 8
himself 1
hired 1
his 18
holes 1
home 3
hoping 1
horrible 1
how 1
however 1
i 1
if 2
immediate 1
impression 1
improves 1
in 5
inadvertently 1
incredibly 1
intelligence 1
into 2
iq 1
is 8
jerk 1
job 1
just 1
kisses 1
know 2
knows 2
last 1
later 1
learn 1
leaves 1
levels 1
lie 2
lied 2
lies 1
life 1
like 1
liking 1
longer 1
losing 1
lot 1
make 1
mention 1
millicent 9
min 3
mom 1
more 2
moves 1
mr 1
much 2
must 1
mutual 1
my 1
never 1
new 2
news 1
night 1
no 1
not 3
now 2
of 4
on 5
one 1
only 2
other 1
over 1
park 1
passed 1
play 1
player 1
presents 1
probably 1
process 1
prodigy 1
promotion 3
pros 1
protests 1
purposely 1
ready 1
realized 1
realizing 1
really 1
recently 1
reconnect 1
rejected 1
relocation 1
report 2
required 1
retirement 1
reveals 1
ronster 1
saved 1
says 2
school 2
schooled 1
scott 1
secret 1
senile 1
senior 1
sessions 1
she 3
shuns 1
situation 1
skyhigh 1
slackoff 1
slightly 1
so 2
some 1
soon 1
spend 2
stanford 21
start 1
story 1
strange 1
stretch 1
study 1
stupid 1
summer 3
take 1
takes 1
teacher 1
tell 1
tells 1
tentative 1
that 11
the 19
their 3
them 3
they 5
thinking 1
this 2
though 3
through 1
tico 1
time 2
to 14
told 1
too 1
tortures 1
trade 1
trouble 1
tutor 1
tutored 1
two 2
under 1
up 2
varying 1
want 1
wanted 1
wants 1
was 1
way 1
wearing 1
well 1
werent 1
what 2
when 2
whenever 1
where 1
which 1
whole 1
will 1
with 9
wong 1
working 1
works 1
worldclass 1
would 1
york 1
