3388556
/m/098_yt
/m/098_yt
Primo Levi
1986

a 5
about 1
after 1
aims 1
aliyah 1
an 1
and 9
are 1
army 1
artillery 1
as 2
at 1
battle 1
becomes 1
before 1
behind 1
book 2
by 4
byelorossiya 1
called 1
chapter 1
chief 1
companion 1
dajcher 1
defeated 1
disoriented 1
dreaming 1
during 1
einsatzgruppe 1
ending 1
enters 1
fall 1
fighters 2
first 1
follows 1
for 1
forces 1
fought 1
from 3
front 1
gedale 1
gedalistas 1
german 2
germany 1
group 2
halfway 1
he 3
his 4
homeland 1
ii 1
in 6
includes 1
is 3
italy 1
jewish 3
jews 1
joining 1
leader 1
leonid 1
life 1
lines 1
lithuanians 1
loses 1
machine 1
making 1
massacred 1
mendel 3
midst 1
milan 1
motley 1
movement 1
nachmanovich 1
nazi 1
number 1
odyssey 1
of 5
overtaken 2
palestine 1
part 1
partisan 1
partisanka 1
partisans 1
poland 1
poles 1
project 1
protagonist 1
reclaiming 1
red 1
regiment 1
repairer 1
resistance 2
russians 1
sabotage 1
separated 1
shtetl 1
soviet 2
soviets 1
starting 1
story 1
struggle 1
survive 1
take 1
the 17
their 1
them 1
there 1
thereafter 1
they 1
through 2
to 3
traverses 1
union 1
unsupported 1
victorious 1
war 3
watch 1
western 1
where 1
which 1
while 1
wife 1
with 2
worked 1
world 1
zionist 1
