1526104
/m/05823w
/m/05823w
George MacDonald
1872
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 8
abduct 1
about 1
above 1
absent 1
accept 1
accidentally 1
affairs 1
after 2
against 2
ago 1
also 1
and 16
appear 1
appears 1
are 4
as 3
at 1
attending 1
away 1
barely 1
become 1
begin 1
behind 1
being 2
beings 1
boy 1
but 1
by 3
caused 1
centuries 1
chased 1
child 1
company 1
curdie 4
dead 1
defeat 1
desolate 1
despise 1
discovers 1
disgust 1
distorted 1
do 1
driven 1
drives 1
driving 1
due 2
eight 1
enters 1
escape 1
ethereal 1
existence 1
father 1
for 1
force 1
forcing 1
friends 1
gnomes 1
goblin 2
goblins 12
grandmother 1
greatgreat 1
grotesque 1
ground 1
harelip 2
has 2
hatch 1
have 1
he 2
heir 1
help 1
her 5
hideous 1
hides 1
however 1
human 1
humans 3
in 2
into 1
irene 6
is 1
kingdom 3
known 2
knows 1
kobolds 1
late 1
life 1
lifestyle 1
lives 1
lonely 1
lootie 3
loudly 1
lurk 1
malformed 1
marry 1
miner 1
mines 2
mother 1
mountainous 1
must 1
named 1
ndash 3
never 1
new 1
night 2
not 1
nursemaid 1
of 7
old 1
on 2
once 1
one 1
only 2
or 1
out 1
peterson 1
physical 1
plan 1
planning 1
plot 1
prince 1
princess 3
queen 1
realm 1
reasons 1
regard 1
repelled 1
repulses 1
revenge 1
rulers 1
save 1
scheme 1
secret 1
she 1
sheltered 1
singing 1
sings 1
soon 1
state 1
states 1
stay 1
stepmother 1
sunshine 1
surface 2
that 3
the 29
their 2
them 4
therefore 2
these 1
they 1
this 2
throne 1
to 11
toes 1
trait 1
underground 2
upbringing 1
varying 1
ventures 1
vile 1
vow 1
war 1
were 3
where 1
which 2
who 4
wild 1
with 3
year 1
