2349314
/m/075q5t
/m/075q5t
Boris Strugatsky

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 12
after 4
alien 1
an 4
and 7
anton 2
any 1
appear 1
are 1
arrive 1
as 6
authorization 1
back 2
bader 1
be 1
because 1
best 1
but 2
by 1
called 1
camp 1
catastrophic 1
causes 1
choice 1
civilization 3
comcon 1
commit 1
concentration 1
contact 1
could 1
crisis 1
cruelties 1
decide 2
despite 1
disappeared 1
discover 2
do 1
early 1
earth 3
en7031 1
entire 1
even 1
everlasting 1
explains 1
explorers 1
fact 1
fail 1
feudalistic 1
for 2
forbidden 1
found 1
from 2
future 1
go 2
gorbovsky 1
guest 1
has 1
having 1
he 4
him 1
his 2
human 2
immediately 1
in 5
influence 1
initiate 1
into 1
is 4
it 5
just 3
killed 1
know 1
landing 1
largely 1
later 2
latter 1
leave 1
leaving 1
life 1
local 3
machines 1
man 1
men 1
misinterpreted 1
mysterious 1
named 1
nazi 1
not 1
note 1
novel 1
of 2
on 2
one 1
or 1
pandora 1
partly 1
persuaded 1
phenomenon 1
planet 4
population 1
predicted 2
prisoner 1
psychological 1
rather 1
repnin 4
returned 1
routine 1
same 1
saul 4
saula 2
saw 1
sc 1
see 2
severe 1
shifted 1
shocked 1
short 1
situation 1
so 1
society 1
soon 2
story 1
strictly 1
successfully 1
system 1
tells 1
that 7
the 13
their 1
them 1
they 6
this 1
though 1
time 3
to 10
traces 2
travel 1
trip 1
try 1
two 1
uncharted 1
uncovered 1
unnamed 1
vadim 2
wanderers 2
wants 1
was 4
well 1
what 1
where 1
which 2
who 3
whom 1
with 1
without 1
young 1
