5082958
/m/0d1ylc
/m/0d1ylc
Margery Allingham
1933
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
300 1
a 46
about 2
abroad 1
accompanied 1
accused 1
addressed 1
adversaries 1
after 2
albert 1
all 1
already 1
amanda 14
amplified 1
an 9
ancient 2
and 46
are 3
army 1
around 1
arranged 1
arrested 1
arrive 3
arrived 1
arrives 3
arriving 1
as 9
associate 1
astaroth 1
at 7
aunt 3
averna 3
avoid 1
away 3
back 3
be 3
bearing 1
beaten 1
been 1
before 1
begins 1
being 1
believed 2
bell 4
belonging 1
bidding 1
bizarre 2
bizarrely 1
boat 2
bound 1
box 5
british 1
broadcast 1
bullet 1
burglar 2
business 1
but 8
buy 1
by 12
called 1
camouflaged 1
campion 18
car 2
ceremony 2
chauffeur 1
child 1
claims 1
clear 1
climbs 1
cloth 1
come 1
conjure 1
continent 1
continue 1
control 1
convent 1
corpse 1
could 1
crown 3
currently 1
curse 1
cut 1
dark 1
death 1
deeds 3
defraud 1
demon 2
describes 1
diamond 1
did 1
dinner 1
distracts 1
disturbed 2
disturbs 1
does 1
door 1
doyle 6
dr 2
draws 1
dressed 2
driven 1
driving 1
drown 1
drugging 1
drum 6
drumskin 1
drunken 1
duplicate 1
during 2
dynamo 1
eagerwright 1
early 1
earthquake 1
eccentric 1
echo 1
electricity 1
engine 1
enormous 1
enters 1
equipment 3
estate 1
everyone 3
everything 1
evidence 1
exhausted 1
explains 2
falls 1
family 1
farquharson 2
feed 1
feigning 1
fight 1
financier 1
find 3
finds 1
finish 1
fittons 1
flee 2
flushes 1
following 2
follows 1
for 4
foreign 1
former 1
found 5
free 1
french 1
friend 2
friends 3
from 7
fuel 1
gagged 1
galley 7
gang 1
gauntlett 1
get 2
gets 1
getting 1
gives 1
go 1
goes 1
gone 1
government 1
grabs 1
grain 1
grip 1
guests 1
guffy 1
gun 2
gunfight 1
had 3
hal 4
hands 1
harbour 1
has 9
hattie 3
have 2
he 27
headed 1
heads 2
hears 1
heath 3
heir 2
heirs 2
help 2
helping 1
her 4
herbs 1
hidden 1
hide 1
hiding 1
him 12
his 9
hopes 1
hotel 1
house 7
how 1
identifies 2
immediately 2
important 1
impoverished 1
in 21
informed 1
inn 1
insane 1
inscription 3
insists 3
instructions 1
interest 1
into 6
invaded 1
iron 1
is 16
it 6
its 2
jewellery 1
job 1
joins 1
just 2
kill 1
killed 1
knocked 1
knocks 2
laden 1
later 1
leads 1
learn 1
leave 2
leaving 1
left 1
letter 1
little 1
local 3
lock 1
locks 1
london 2
looking 1
losing 1
loss 1
lost 1
loud 1
lugg 3
makes 1
man 3
marked 1
marry 1
mary 1
masquerading 1
medic 1
meeting 1
meets 1
men 2
middle 1
mighty 1
mill 3
minor 1
missing 1
mission 1
mistaken 1
morning 1
mountaineer 1
move 1
museum 3
must 1
mysteriously 1
name 1
named 1
near 1
nearby 1
necklace 1
new 1
next 1
night 2
norwich 1
not 1
note 1
oak 1
of 20
off 1
old 6
older 1
on 10
opened 1
opens 1
other 1
others 2
out 6
overpower 1
own 1
parrott 2
partnership 1
peaky 3
peru 1
plan 1
plans 2
policemen 1
pontisbright 6
pontisbrights 1
precious 1
prepared 1
promise 1
proof 2
proofs 1
prospector 1
radio 3
randall 4
read 1
realises 1
receive 1
recently 3
released 1
remove 1
resolve 1
retrieve 1
return 2
revealing 1
reveals 1
riddle 1
rifling 1
rights 1
rings 1
room 1
rotten 1
round 1
royalty 1
run 2
running 1
rush 1
safely 1
savanake 12
saying 1
scare 1
scatty 3
searched 1
seat 1
secretive 1
secretly 1
seeking 1
sees 1
sent 1
serious 1
servant 1
she 5
shoots 1
shot 1
shows 1
shuts 1
signal 1
skin 1
slab 1
small 1
so 2
solving 1
some 3
sound 1
speaks 1
split 1
stay 1
stop 1
stops 1
store 1
stories 1
strategically 1
suffolk 1
surprised 1
switched 1
take 4
taken 1
takes 1
taking 2
talk 2
team 1
tell 1
tells 2
territory 1
that 5
the 71
their 1
them 6
they 15
thief 1
this 1
through 1
time 2
titles 1
to 41
travel 1
tree 1
tried 2
tries 3
trouble 1
trying 1
turned 1
two 2
unconscious 2
until 1
unveils 1
up 3
valley 1
village 2
visit 2
walkway 1
washed 1
water 2
watermill 1
waterwheel 1
well 2
wellarmed 1
when 11
which 4
while 1
who 7
williams 2
winding 1
with 9
woman 1
wound 1
wrapped 1
yard 1
