27860571
/m/0cc5m6g
/m/0cc5m6g
James Curtis
1938

a 3
accounts 1
across 1
alongside 1
alterego 1
and 2
antagonist 1
as 1
at 1
attempts 1
be 1
been 1
both 1
brutality 1
but 1
by 4
camden 1
case 1
caught 1
choice 1
cleansing 1
community 1
corruption 1
criminal 1
dead 1
degeneration 1
degrees 1
destitute 1
discover 1
distance 1
drive 1
drivers 1
end 1
enquiries 1
evade 1
face 1
female 1
flees 1
for 1
free 1
from 1
girlfriend 1
goes 2
hangman 1
having 1
he 5
her 1
his 2
hoover 1
in 1
into 1
investigation 1
is 7
just 1
kill 1
killer 1
law 1
little 1
logistical 1
london 1
lonewolf 1
long 1
lorry 1
main 1
mathews 1
mental 1
more 1
motivation 1
murders 1
needing 1
night 2
novel 1
now 1
of 4
only 1
part 2
pentonville 1
petty 1
police 1
predominately 1
prime 1
prison 1
proceed 1
protagonist 1
punctuated 1
real 1
realising 1
reference 1
released 1
scene 1
set 1
shorty 1
social 1
strangled 1
success 1
suspect 1
the 16
their 1
there 1
they 1
title 1
to 7
trap 1
travelling 1
trawls 1
uk 1
up 1
varying 1
victims 1
visit 1
west 1
who 1
whoever 1
will 2
with 2
work 1
wrap 1
