1048130
/m/041fnq
/m/041fnq
Sergey Lukyanenko

a 22
able 1
access 1
action 3
actions 4
actually 2
afghanistan 1
all 1
almost 1
also 1
although 2
always 1
ambitious 1
an 5
and 29
apart 1
appears 1
appropriately 1
are 3
army 3
arrives 1
art 3
as 8
ascend 1
aspects 1
at 1
away 1
be 2
because 2
been 2
begin 1
being 1
belief 1
believes 1
beloved 1
better 2
blind 1
bonaparte 1
books 1
both 2
boy 2
bring 1
but 9
by 9
can 2
cancer 1
cant 1
cause 1
certain 1
champion 2
change 1
christ 1
claiming 1
clarity 1
close 1
colonel 1
come 1
compassion 1
consequences 3
contest 3
contests 1
copy 2
corrupt 1
countries 1
country 1
cranking 1
create 1
crime 1
crusades 1
current 1
cynical 1
darkness 5
death 1
defeat 1
determined 1
development 1
direction 1
directs 1
diverging 1
divine 1
doctor 1
does 2
doesnt 1
dont 1
dour 1
driven 2
dying 1
each 1
empowers 1
ends 1
envoy 10
envoyoriginal 1
envoys 4
even 2
evil 1
experience 1
extrapolate 1
eyetoeye 1
faith 2
fantasy 1
female 1
fervent 1
focusing 1
for 3
force 5
forces 2
forth 1
fought 1
fraility 1
freedom 1
from 3
future 1
god 1
good 1
grow 1
growing 1
growth 5
guarantees 1
guiding 1
hack 1
hampered 2
has 6
have 4
having 1
he 3
her 3
herd 1
his 10
hitman 1
home 1
however 1
hunts 1
imagination 1
impassioned 1
implied 3
implies 2
impotent 1
in 9
incarnations 2
individual 1
intelligent 1
intervened 1
intervenes 1
into 1
is 17
it 2
its 1
jesus 1
joseph 1
kill 1
kin 1
kindness 2
knowledge 4
lacks 2
last 1
leading 1
least 1
light 2
like 1
limited 1
lives 1
longterm 1
loss 1
lost 2
lot 1
love 4
loyalty 1
lukyanenko 1
makes 1
medicines 1
mentioned 1
messenger 1
money 1
more 1
most 1
motivation 1
much 1
murders 1
napoleon 1
neglected 1
not 3
novel 3
novels 1
numerous 1
of 23
old 1
on 2
one 3
only 1
or 1
original 7
originals 1
other 6
others 1
out 1
own 2
painter 1
pairs 1
part 3
past 3
patients 1
peace 1
people 2
physical 1
physically 1
place 2
politician 1
potential 2
power 6
presented 1
presidency 1
professional 1
progress 1
progresses 1
prouodly 1
punishing 1
purpose 2
rarely 2
rather 1
reasonable 1
references 1
regard 1
religion 1
remember 1
remembers 1
represented 3
represents 2
result 2
retains 1
russia 1
savoury 1
schicklgruber 1
scientist 1
scifi 1
security 1
see 1
seeking 1
seems 1
seen 1
several 1
shared 1
she 1
shepherd 1
shortterm 1
single 1
six 2
some 1
somewhat 1
soon 1
specifically 1
spending 1
stalin 1
state 2
still 1
stren 1
strength 4
strong 2
subjugated 1
suffering 1
supplants 1
take 1
takes 1
teenager 1
terminal 1
that 4
the 42
their 4
this 8
time 1
to 15
treatments 1
turning 1
ukraine 1
ukrainian 2
ultimate 1
unfortunately 1
unlike 3
up 1
victory 1
vision 1
warriors 1
was 1
when 1
which 1
while 1
who 4
whole 1
whom 1
winning 1
wise 1
witch 1
with 2
without 2
won 1
world 4
would 4
writer 1
written 2
year 1
