5491759
/m/0dp5mj
/m/0dp5mj
Sam Harris
2006-09
{"/m/05h83": "Non-fiction"}
2005 1
34global 1
53 1
a 6
abortion 1
about 2
addresses 2
adultery 1
advocate 1
against 1
alleviate 1
allows 1
also 1
america 1
americans 1
and 9
answer 1
appeal 1
are 3
argues 2
arguing 2
arguments 1
basis 1
be 1
beliefs 1
believing 1
between 1
bible 1
building 1
but 1
can 2
cell 1
christian 1
citing 1
civilization34 1
complete 1
condom 1
conflict 1
conflicts 1
conservative 1
considerable 1
considers 1
contends 1
contrary 1
contrasts 1
create 1
creationists 1
criticize 1
death 1
design 1
dialogue 1
difficult 1
difficulty 1
disasters 1
disobedience 1
divorced 1
dogma 1
efforts 1
end 1
etc 1
ethnic 1
evilthe 1
evolution 1
example 1
expends 1
experiences 1
extremism 1
faith 1
faithbased 1
false 1
for 6
from 2
gallup 1
god 1
good 1
greatest 1
happiness 1
harris 7
have 1
he 3
his 1
holding 1
homosexuality 1
human 2
humanity 1
hurricane 1
impediment 1
in 9
intelligent 1
intercommunal 1
interfaith 1
is 3
it 3
items 1
jainism 1
katrinaand 1
law 1
lifeaffirminghe 1
like 1
link 1
make 1
many 1
may 1
members 1
morality 3
more 1
mosaic 1
mutual 1
necessaryharris 1
new 1
nonviolence 1
notion 1
now 1
objections 1
of 12
old 1
on 2
one 1
only 1
papilloma 1
parents 1
past 1
points 1
poll 1
premise 1
problem 1
purpose 1
questions 3
reality 1
rejects 1
reliance 1
religion 2
religions 1
religious 4
research 1
respect 1
right 1
science 1
selected 1
served 1
so 1
some 2
space 1
spends 1
spiritual 1
stand 1
states 1
stem 1
such 1
suffering 2
suggested 1
takes 1
testament 1
that 7
the 19
their 2
they 1
this 1
those 1
thus 1
time 1
to 10
tolerance 1
underlying 1
use 2
useful 1
utilitarianism 1
vaccine 1
valuable 1
values 1
variety 1
virus 1
way 1
which 1
while 1
who 2
with 1
world 1
