4723744
/m/0ck48g
/m/0ck48g


{"/m/06n90": "Science Fiction"}
a 10
about 1
accept 1
access 3
against 1
age 1
all 1
ambiguous 1
an 2
and 9
arc 3
arrive 1
at 1
be 1
become 3
been 1
behind 1
build 1
but 2
by 1
called 2
captors 1
caveat 1
ceremony 1
chute 1
city 4
class 1
close 1
community 1
computer 3
confronted 1
confusion 1
consciousness 1
day 3
devices 1
disaster 1
discomfort 1
down 1
dreamland 1
during 2
earth 1
effective 1
emerging 1
enable 1
encounters 1
escape 1
fantasy 1
final 1
first 1
flowing 1
freedom 1
friends 2
future 1
gain 1
garbage 1
gas 1
generations 1
gets 1
gone 1
great 1
group 1
has 2
he 2
hide 1
his 5
honour 1
house 1
how 1
however 1
human 1
in 5
info 7
information 1
into 1
is 3
knowledge 2
later 1
leading 1
left 1
living 1
lords 3
loses 1
manages 1
many 1
may 1
new 1
next 1
of 7
on 1
one 4
or 1
outside 2
pak 1
paks 6
prescribes 1
primitive 1
prisoner 1
program 1
rapidly 1
reacted 1
rebel 1
receive 1
recreation 1
regulated 1
reject 2
rejected 1
respectively 1
river 1
ruling 1
save 1
scientists 1
selfcontrolled 1
sensing 1
shocking 1
shute 1
slave 1
slaves 2
slides 1
soldiers 2
son 1
subsequent 1
survivors 1
taken 1
tap 1
teacher 1
the 23
this 1
those 2
through 1
to 9
tomi 6
total 1
truths 1
two 1
unnamed 1
violently 1
wearer 2
when 2
which 1
who 2
with 3
worker 1
workers 1
world 2
