6842175
/m/0gs3hr
/m/0gs3hr
Marisha Pessl
2006
a 8
academic 1
after 1
also 1
amateur 1
and 9
are 1
arrogant 1
at 2
attend 1
befriends 1
believes 1
blue 5
bluebloods 2
called 1
camping 1
carolina 1
charles 1
close 1
college 1
contrast 1
culture 1
daughter 1
death 2
dreamy 1
drowning 1
during 1
erudite 1
events 1
eventual 1
everything 1
filled 1
film 1
filmobsessed 1
flamboyant 1
flaming 1
flowerchild 1
for 1
freeloving 1
friends 1
gallway 2
gareth 1
group 1
hannah 2
head 1
his 1
however 1
icequeen 1
in 3
intrigues 1
is 3
itinerant 1
jade 1
lead 1
lepidopterancatching 1
leulah 1
lexicon 1
manages 1
meer 2
milton 1
more 2
most0210watching 1
mother 1
murky 1
never 1
nigel 1
north 1
of 5
on 1
own 1
perplexing 1
pop 1
popular 1
pterodactyl 1
question 1
rebellious 1
rich 1
schneider 1
school 1
semester 1
senior 1
series 1
settle 1
she 4
should 1
sleepy 1
st 2
starts 1
stay 1
stockton 1
studies 1
teacher 1
teenager 1
teenagers 2
than 2
the 9
they 1
to 4
town 1
trip 1
ultramysterious 1
unfortunate 1
van 2
who 2
whose 1
wife 1
with 2
witty 1
woman 1
year 1
