7671018
/m/0268fw7
/m/0268fw7
Alisa Valdes-Rodriguez
2006-10-04
a 5
accident 1
also 2
and 3
archuleta 1
as 4
be 1
begins 1
cabrera 1
california 1
changes 1
character 1
chris 1
circles 1
comic 1
competition 1
control 1
dating 1
de 1
deal 1
dealing 1
develop 1
extreme 1
father 2
feelings 1
finds 3
follows 1
for 2
getting 1
gift 1
girl 1
handsome 1
happens 1
has 1
haters 2
having 1
her 3
herself 2
in 3
is 1
jessica 3
known 1
life 1
materialism 1
mean 1
more 1
motorcycle 1
move 1
movie 1
nguyen 1
of 3
once 1
optioned 1
participating 1
paski 5
pasquala 1
predicting 1
premonition 1
problems 1
psychic 1
quintana 1
resident 1
result 1
rumalda 1
school 1
she 3
social 1
soon 1
strip 1
terrible 1
than 1
that 1
the 5
there 1
to 4
tries 1
where 1
while 1
who 1
with 2
