13097186
/m/02z6c4l
/m/02z6c4l
Ashok Banker
2006
a 35
able 4
about 2
accessible 1
ace 1
acid 1
acquired 1
admit 1
advantage 1
afar 1
after 4
again 4
against 12
agnipariksha 1
agony 1
agree 1
agrees 4
aid 1
air 2
alike 1
all 6
allows 1
along 1
alternate 1
although 4
an 13
ancient 1
and 84
angavastra 1
another 2
anxiously 1
any 4
anymore 1
apparent 1
appears 2
are 10
armed 1
armies 6
armistice 1
army 12
arrival 2
arrives 1
arrow 3
as 9
asks 2
assault 4
asura 4
at 6
attack 2
attacked 1
await 1
awaiting 1
awakening 1
awed 1
awoken 2
ayodhya 2
back 10
banished 1
battle 16
battlefield 3
be 3
bear 5
bears 2
become 1
becomes 1
been 6
begin 1
begins 1
being 1
believing 1
between 1
birds 1
birth 1
block 1
blocking 1
body 1
both 4
bow 3
brahman 2
bravely 1
break 1
bred 1
bridge 3
bridgebuilding 1
bring 1
bringing 1
brother 3
building 1
buried 1
burning 1
but 10
by 15
calculate 1
calls 1
calmly 1
can 1
cannot 2
capable 1
card 1
carrying 1
castemarks 1
cause 2
causing 1
caveat 1
celebration 1
celestial 2
center 1
central 1
chagrin 1
champion 1
champions 1
chance 1
chandra 1
chant 1
charge 1
chariot 1
city 3
claiming 1
cloud 1
clouded 1
coalesces 1
coast 1
code 1
cold 1
collide 1
colossal 1
combat 1
come 2
comes 1
coming 1
command 1
commandeering 1
commander 1
complete 3
completely 1
conflicts 1
confront 1
confronts 2
considerable 1
considerably 2
consigned 1
contain 1
continue 1
conventional 1
corpses 1
craftier 1
creating 1
creatures 1
cross 1
crossing 1
crown 1
crush 1
cursed 1
cut 1
dark 1
day 3
dead 2
death 5
decapitate 1
decapitates 1
deceive 1
decides 2
decimate 1
decimating 1
decree 1
deeds 1
defeat 1
defeats 1
defend 1
demise 1
demoralized 1
designs 1
desperate 1
despite 2
destiny 1
destroyed 4
destroying 2
destroys 1
destruction 5
deva 1
development 1
dharma 2
dharmic 1
did 1
die 1
dies 1
directly 1
disappointment 1
disarms 1
dispels 1
distress 1
divine 3
do 1
doubt 1
down 2
drona 1
drops 2
during 2
dvivida 1
each 3
eagle 1
earth 1
earthly 1
effort 3
elite 2
emasculates 1
en 1
end 2
ends 1
enemy 2
energetic 1
enough 2
entire 4
environment 1
eradicated 1
eradicating 1
even 1
evenly 1
events 1
eventual 1
ever 1
every 1
evil 2
executes 1
executing 1
execution 1
exile 1
exist 1
existence 1
expands 1
expedience 1
explains 2
express 1
expresses 1
extinction 1
face 1
faces 1
fact 1
fail 1
fair 1
false 1
family 1
fate 1
fed 1
feed 1
fends 1
fidelity 1
fields 1
fierce 1
fight 5
finally 3
find 3
finds 1
fires 1
first 2
fixes 1
flatly 1
flaw 1
flies 1
flock 1
fly 1
flying 1
following 4
for 8
force 3
forces 2
forehead 1
forests 2
foretold 1
forgiveness 1
form 3
formed 1
forms 1
formulate 1
four 1
fourteen 1
fragments 1
friends 1
from 4
front 2
frontal 1
full 2
fuming 1
fury 2
future 1
garuda 1
gate 1
gatekeepers 1
gates 1
general 3
genuinely 1
giant 2
gift 1
goes 2
grand 1
granted 1
great 1
greater 1
greatest 2
ground 3
growing 1
grows 2
had 4
hands 1
hanuman 16
happiness 1
has 6
have 4
having 1
he 45
head 2
heading 1
heal 1
heartily 1
her 3
herbs 2
herself 2
hidden 1
him 15
himself 3
his 39
hits 1
hive 1
hold 1
holy 2
hope 2
hordes 2
horrified 1
horror 4
hostage 1
however 6
huge 1
hundreds 1
hurt 1
hybrid 1
if 2
illegitimate 1
impervious 1
in 34
incarnated 1
incredibly 1
indestructible 1
