380015
/m/021gls
/m/021gls
Stephen Baxter
2002-11-30
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 8
ability 1
across 1
act 1
actions 1
advancing 1
africa 2
also 2
an 3
and 7
another 1
antarctica 1
apelike 1
are 3
as 4
assimilate 1
at 1
be 2
become 1
book 3
but 1
by 2
caldera 1
causes 1
clamps 1
closer 1
come 1
confronting 1
constructor 1
consumes 1
converting 1
coupled 1
creatures 1
culture 1
dead 1
debris 1
descendants 1
develop 1
developed 1
diminishing 1
dinosaurs 2
distant 1
dna 1
down 1
drifts 1
dwellers 1
earth 2
ecophagy 1
elsewhere 1
end 2
engineering 1
epilogue 1
eruption 1
event 1
evolution 2
evolving 1
extinction 4
extinctionlevel 1
follows 1
forced 1
forests 1
form 1
formed 1
found 1
from 1
genetic 1
global 1
go 1
goes 1
grasslands 1
group 1
have 1
high 1
hominids 1
human 3
humans 3
ice 1
implied 2
in 7
including 1
indirectly 1
into 2
is 2
it 2
joyously 1
last 1
late 1
later 1
leaves 1
legacy 1
life 1
live 1
machine 1
machinery 1
machines 1
mankind 2
mars 3
marslike 1
mass 1
mole 1
much 1
multiplies 1
neanderthals 1
new 2
nonengineered 1
north 1
occurs 1
of 16
on 6
one 1
only 1
or 1
others 1
out 2
people 1
planet 3
planets 1
point 1
ponderous 1
primate 1
primates 1
primatetree 1
purgatorius 1
rabaul 1
raft 1
rebirth 1
referred 1
relationships 1
remoulds 1
removed 1
replicator 1
reproduce 1
romans 1
run 1
runs 1
sapient 2
search 1
sent 1
sentience 1
shapes 1
solar 1
some 1
stream 1
surviving 1
symbiotic 1
system 1
technology 2
terrible 1
that 5
the 21
their 2
themselves 1
then 1
to 10
tree 1
universal 1
universe 1
unknowingly 1
vaguely 1
various 1
well 1
where 2
which 2
who 2
wild 1
will 1
with 3
witnesses 1
world 1
