5667392
/m/0dz2xt
/m/0dz2xt
Glen Cook
1985-04
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/04n87l": "Dark fantasy", "/m/03qfd": "High fantasy", "/m/02xlf": "Fiction"}
a 11
abilities 1
ability 1
able 1
about 1
actively 1
after 1
aftermath 1
afterwards 1
against 1
all 2
alliance 1
allowing 1
allows 1
along 1
also 1
among 2
an 1
and 27
approaches 1
are 6
armies 1
around 1
arouse 1
arriving 1
as 6
assassinate 1
at 2
attempt 1
awaiting 1
awake 1
away 1
back 1
barrowland 3
battle 1
be 1
bears 1
because 1
becoming 1
begin 1
begins 1
being 1
beyond 1
bind 1
bit 1
black 2
blister 1
bloodthirsty 1
blown 1
body 2
bomanz 3
borders 1
both 2
brought 1
burial 1
burned 1
but 6
by 3
can 1
captured 1
carefully 1
center 1
chance 1
check 1
chopped 1
claims 1
closer 1
common 1
company 4
confirmed 1
confront 1
converted 1
cost 1
couriers 1
cover 1
covertly 1
creatures 1
croaker 9
daunt 1
death 1
defeat 1
deliberately 1
denizens 1
depriving 1
describing 1
desperate 1
destroyed 1
directs 1
discover 1
distraction 1
dog 4
doing 1
dominator 6
doublecrosses 1
driven 2
due 1
each 2
eastern 1
easy 1
elmo 1
emerge 1
emotionally 1
empire 1
end 2
enough 1
escaped 1
especially 1
even 2
eventually 1
exact 1
expands 1
explains 1
fail 1
far 1
fate 1
father 5
fear 2
fears 1
final 1
finally 2
first 1
flee 1
fleeing 1
foe 1
fond 1
for 6
forest 1
form 1
former 2
found 3
free 2
from 3
front 1
gained 1
garrisoned 1
gather 2
go 1
goblin 2
god 1
goes 1
grow 1
growing 1
grown 1
guardians 1
guesses 1
guide 1
had 3
has 3
have 1
he 11
head 1
help 1
helpless 1
her 11
highest 1
him 3
himself 2
his 12
house 2
how 1
immensely 1
imminent 1
immortal 1
immune 1
imprisoned 1
in 10
incarnation 1
increasingly 1
influence 1
information 1
infused 1
into 4
is 11
it 1
its 1
itself 1
jobs 1
journey 1
kill 2
knew 1
lady 13
last 1
latter 1
leaving 1
led 1
lesser 2
letter 2
letterwriter 1
lieutenant 1
limper 1
linger 1
live 1
looming 1
lurks 1
made 4
magic 2
magical 2
magicfree 1
malevolent 1
man 1
manifesting 1
master 1
matures 1
meanwhile 1
memory 1
men 1
messenger 1
minions 2
mistake 1
mistress 1
mounds 1
mutt 1
name 3
names 1
new 1
no 1
nonhuman 1
notunwilling 1
now 1
nullifying 1
odd 1
of 26
off 2
officer 1
offspring 1
old 7
on 2
once 1
one 3
oneeye 2
out 1
outcome 1
outnumbered 1
overcome 1
pace 1
panic 1
papers 2
pay 1
peace 1
people 1
permission 1
picks 1
plain 3
planted 1
power 1
powerful 2
powerless 2
practically 1
preparations 1
price 1
pursuers 1
questioning 1
ranked 1
raven 5
reach 1
reaches 1
rebel 1
rebellion 1
rebels 1
rebuilds 1
received 1
recognizes 1
refuge 1
relative 1
relatively 1
remnants 1
rendering 1
retrieve 1
return 1
revived 1
rival 1
rose 8
sanctuary 1
sapling 1
scion 1
scorn 1
search 1
searched 1
see 1
send 1
sends 1
servants 1
several 1
shadows 1
shaking 1
she 2
shortly 1
silent 1
silver 1
situation 1
skill 1
slave 1
sneak 1
soldiers 1
some 1
something 1
soon 2
speaking 2
spell 1
spells 1
spike 1
spirit 2
spy 1
staged 1
stalwart 1
started 1
surrounding 1
surviving 1
suspicions 1
swamp 1
taken 5
taking 3
that 4
the 81
their 8
them 6
themselves 1
then 1
there 2
they 10
this 2
though 1
threat 1
threatening 1
tied 1
time 1
to 25
toadkiller 4
tracker 4
trapped 1
travel 1
treachery 1
tree 6
tries 1
trouble 1
true 3
truly 1
trunk 1
trust 1
try 2
turn 1
two 3
tyrant 1
ultimate 1
uncaptured 1
unexpectedly 1
unique 1
unmasked 1
unnamed 1
up 1
used 1
utter 1
vacant 1
vastly 1
vicinity 1
vital 1
volunteers 1
vulnerable 1
was 3
way 1
were 1
what 2
when 3
where 1
which 1
while 2
white 8
who 3
with 6
within 1
without 1
wizard 3
wizards 1
working 1
world 1
worst 1
wrong 1
years 1
zone 2
