10669724
/m/02qls55
/m/02qls55
Les Claypool


a 6
actual 1
addict 1
addresses 1
along 1
and 4
basic 1
beats 1
become 1
berkeley 1
best 1
between 1
boat 1
body 1
brief 1
brothers 2
but 1
california 1
catch 1
claypool 2
concerned 1
concerning 1
concludes 1
day 1
death 1
decay 1
deceased 1
dispose 1
donny 4
during 1
earl 4
ed 2
efforts 1
el 1
epilogue 1
explains 1
father 1
fishing 3
fleetingly 1
for 1
friend 1
get 2
go 1
grew 1
has 4
he 1
heated 1
him 1
his 3
in 5
invites 1
is 2
left 2
line 1
live 1
memory 1
men 1
meth 1
mistake 1
mistakenly 1
novel 3
of 6
on 1
one 1
other 1
plot 1
pole 1
racism 1
racist 1
recently 1
regular 1
rest 1
right 1
slept 1
small 1
sobrante 1
stayed 1
sturgeon 1
tale 1
that 1
the 14
their 2
themes 1
things 1
three 1
to 4
together 1
town 4
trip 2
trying 1
twist 1
two 1
up 1
urban 1
were 1
when 3
where 1
which 2
while 1
wife 1
wing 2
with 3
