263527
/m/01n2g0
/m/01n2g0
Philip Gourevitch
1998
{"/m/05h83": "Non-fiction"}
14 2
15 1
accused 1
adventist 3
after 1
aiding 1
an 2
and 2
april 1
book 2
but 1
by 2
church 1
comes 1
complex 1
conflict 1
convicted 1
criminal 1
day 1
describes 1
elizaphan 1
events 1
eventually 1
explains 1
for 1
from 1
gathers 1
genocide 2
gourevitch 3
had 1
happened 1
he 1
history 1
hospital 1
in 8
information 1
international 1
interviews 1
kibuye 1
killings 1
leading 1
letter 1
locality 1
major 1
meaning 1
mugonero 1
next 1
not 1
ntakirutimana 3
of 5
on 1
only 1
operations 1
other 1
pastor 1
pastors 1
peak 1
prefecture 1
president 1
reflects 1
refuge 1
retells 1
rwanda 4
seventhday 1
several 1
stories 1
survivors 2
taken 1
that 1
the 15
title 1
to 2
travels 1
tribunal 1
tutsis 1
up 1
was 1
western 1
which 1
who 1
with 1
written 1
