190309
/m/01b0yz
/m/01b0yz
Ernest Callenbach

{"/m/01qxvh": "Romance novel", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0c082": "Utopian and dystopian fiction"}
1 1
174 1
180 1
25 1
a 11
about 3
actual 1
advanced 1
affair 1
against 1
allegedly 1
allow 1
allowed 1
along 1
also 3
american 1
americans 1
an 1
and 16
are 4
arms 1
arts 1
as 8
assignment 1
at 2
back 1
been 1
beginning 1
being 1
book 2
both 2
broke 1
building 1
but 3
by 2
cables 1
california 2
cannabis 1
care 1
cause 1
celebrating 1
centers 1
characterized 1
citizens 1
clever 1
columns 1
combination 1
concludes 1
consists 2
construction 1
continual 1
controlled 1
country 2
curious 1
decentralized 2
deciding 1
defense 1
depicted 1
described 1
despite 1
developing 1
diary 5
diffracted 1
discourage 1
discouraging 1
discovers 1
disdain 1
dispatches 1
does 1
dominated 1
economic 1
ecotopia 3
ecotopian 5
ecotopians 2
editor 1
education 1
emotionally 1
employeeowned 1
enchanted 1
encouragement 1
end 1
energy 1
enter 1
enterprises 1
entirely 1
entries 1
ethnically 1
even 1
exclusively 1
expressive 1
extended 1
external 1
families 1
female 1
finding 1
first 1
fitness 1
focused 1
for 2
formed 1
fought 1
freedom 1
from 3
future 1
gender 1
general 1
government 2
green 1
guard 1
had 1
have 1
he 3
healing 1
hidden 1
highly 3
himself 1
hinted 1
his 10
how 1
in 12
include 2
includes 1
including 1
industry 1
initial 1
injuries 1
internal 1
interpreter 1
investigate 1
investigative 1
is 11
it 1
its 1
keeps 1
later 1
learn 1
learns 1
liberal 1
life 1
lifestyle 1
live 2
local 1
localities 1
localized 1
lost 1
love 1
mainstream 1
maintaining 2
major 1
manifested 1
massspectacle 1
may 1
media 1
medical 1
mock 1
monogamy 1
most 1
mythical 1
narrative 3
narrator 1
nation 1
new 2
newly 1
northern 1
not 4
novel 2
observations 1
occasionally 1
of 10
official 2
often 1
on 2
oregon 1
parallel 1
participatory 1
particularly 1
party 1
patriotic 1
peculiar 1
personally 1
population 1
practices 1
preference 1
preferred 1
presented 1
prior 1
production 1
promoting 1
pronouncements 1
proper 1
publication 1
racial 1
reader 2
readers 1
reconquest 1
recorded 1
reflections 1
reform 1
renewable 1
reporter 1
reporting 1
reports 1
reservations 1
resourceful 1
responsible 1
resulting 1
revanchism 1
ritual 1
roles 1
see 1
seen 1
sends 1
separated 1
separation 1
set 1
sexual 2
socially 1
southern 1
sports 2
states 1
stay 1
stimulation 1
strategy 1
structures 2
sympathetic 1
system 2
technologically 1
television 1
tend 1
that 5
the 25
their 1
these 1
they 2
thoroughgoing 1
through 2
throughout 1
timespost 1
to 13
together 1
told 1
transformative 1
transmits 1
transportation 1
united 1
universal 1
us 1
usa 1
use 1
violent 1
voluntary 1
warfare 1
washington 1
we 1
weapons 1
well 1
weston 7
which 2
while 1
who 2
wider 1
william 1
with 5
within 1
wmd 1
woman 1
womanled 1
world 1
years 1
