13856799
/m/03clctl
/m/03clctl
Lincoln Child
2007-01-30
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 7
about 1
acting 1
after 2
all 1
alongside 1
amazing 1
an 1
and 2
as 1
asher 1
at 1
atlantic 1
atlantis 1
basis 1
be 1
been 1
being 1
bishop 1
broken 1
brought 1
by 1
chief 1
codenamed 1
common 1
confidential 1
crane 3
deep 1
discovered 1
discovers 1
doctor 3
down 1
dr 1
drcorbett 1
envelope 1
evidence 1
facility 1
fantastic 1
former 1
found 1
government 1
grabs 1
habitat 1
has 2
have 2
he 5
him 1
himself 1
hints 1
his 1
hostage 1
illness 1
in 2
incidents 1
interviewing 1
into 1
investigate 1
is 3
kind 1
meets 1
michele 1
military 3
must 1
mysterious 1
naval 1
nearly 1
neck 1
north 1
of 6
officer 1
officials 1
oil 1
on 1
one 2
out 1
patients 1
peter 1
psychological 1
quarter 1
realizes 1
receives 1
rig 1
run 1
says 1
screaming 1
screwdriver 1
secret 1
sent 1
should 1
some 3
something 1
stabs 1
staff 1
states 1
storm 1
strangely 1
suddenly 1
superior 1
that 6
the 9
them 1
there 2
these 1
they 1
to 4
transport 1
undersea 1
unifying 1
united 1
voices 1
who 1
with 1
witness 1
workers 1
working 1
