26162972
/m/0bzvn4
/m/0bzvn4
Paul Fleischman
1997
78 1
a 21
add 1
adults 1
after 1
again 1
all 1
along 1
also 4
amir 1
an 1
ana 3
and 18
are 2
around 1
arrest 1
arthritis 1
as 2
assists 1
assumes 1
baby 1
back 1
bad 1
bean 1
beans 2
beaten 1
because 2
become 1
becomes 3
begins 1
brutally 1
bury 1
but 4
by 2
can 2
cant 1
care 1
carrots 1
change 1
children 1
circle 1
come 1
comes 1
comfortable 1
community 1
complains 1
contest 1
creates 1
curtis 2
daughter 1
day 1
dead 1
decides 3
delivered 1
diethen 1
digs 1
discovery 1
dislikes 1
do 1
doesnt 1
doing 1
drycleaning 1
during 1
dying 1
early 1
eggplant 1
english 1
enlists 1
even 1
every 1
everyone 1
everything 1
excited 1
fabric 1
fall 1
farmer 2
father 2
fearful 1
fears 1
feel 1
feels 2
fence 1
finally 1
finds 1
florence 1
following 1
for 1
former 1
friends 1
full 1
garbage 1
garden 11
gardens 2
gets 1
girl 1
girlfriend 1
go 1
goes 1
gonzalo 1
government 1
guatemala 1
guatemalan 1
had 1
has 1
have 1
he 8
heart 1
helps 2
her 6
him 3
his 5
homeless 1
hope 1
house 1
if 1
illegal 1
immigrant 1
in 17
indian 1
insulted 1
is 11
it 2
join 1
juan 3
kim 6
lateesha 1
leona 1
let 1
life 1
lima 3
lot 2
loves 1
man 3
maricela 1
meets 1
men 1
miracle 1
mr 2
myles 2
never 1
nice 1
nine 1
no 1
nobody 2
nora 2
not 2
nurse 1
of 15
old 4
one 1
other 1
others 1
out 1
outside 1
over 1
own 1
owned 1
owns 1
participate 1
people 2
place 1
plant 2
planted 3
planting 2
plants 2
pregnant 1
problem 1
progress 2
protective 1
quickly 1
reaching 1
realize 1
recognize 1
remembrance 1
replants 1
robber 1
robbery 1
romanian 1
royce 1
sae 1
safer 1
sam 1
season 1
see 1
seeds 5
sees 3
she 15
shop 1
since 1
sisters 1
six 1
sixteen 1
small 1
so 3
solve 1
some 1
someone 1
something 3
soon 1
sorry 1
space 1
speak 1
spirit 1
spring 1
started 1
starts 1
stolen 1
store 2
story 1
takes 1
teenager 2
that 4
the 34
their 1
them 2
there 1
they 3
tio 2
to 13
told 1
tomatoes 2
try 1
two 2
uncle 1
understand 1
until 1
up 2
upon 1
upset 1
vacant 2
very 2
vietnamese 1
visits 1
walk 1
was 2
watch 2
watches 1
water 1
wendell 1
wheelchair 1
when 3
while 1
who 6
will 2
win 1
wins 1
winter 1
wishes 1
with 3
woman 1
would 3
wrists 1
wrong 1
year 4
young 1
