15812987
/m/03nwmnb
/m/03nwmnb
Jonathan Raban
1996
{"/m/014dsx": "Travel", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
108 1
324 1
a 21
above 1
accompanied 1
acknowledges 1
across 1
act 1
adopts 1
advertised 1
advertising 1
aforementioned 1
after 2
again 1
agencies 1
aging 1
all 3
allowed 1
also 1
america 1
american 2
amount 1
an 2
and 43
another 1
antiauthoritarian 1
anything 1
apex 1
architecture 1
are 7
area 3
areas 1
around 1
art 1
as 11
asserts 1
at 5
attempt 2
attendance 1
attention 1
attitude 1
attract 1
attracting 1
author 7
back 1
backyard 1
barbed 1
bbq 1
be 5
because 1
become 2
becomes 1
been 1
begins 1
being 1
betrayal 1
betrayed 1
between 1
big 2
bill 1
book 7
boost 1
branding 1
built 1
burrowings 1
bustling 1
but 2
by 11
campbell 1
cannot 2
cant 1
cases 1
cautiously 1
chastened 1
cheap 1
chose 1
circumstances 2
civilization 3
clearly 1
cluster 1
cockaigne 1
comes 1
commerce 2
community 1
concludes 1
conditions 2
conform 1
congress 1
contains 1
continue 1
convinced 1
copywriters 1
coral 1
corporate 1
corporation 1
costumes 1
could 2
country 1
couple 1
covered 1
crashing 1
created 1
culture 1
customs 1
day 2
debating 1
debt 1
deceived 1
delves 1
depicted 1
describes 1
describing 1
desire 1
desperation 1
detail 1
details 1
development 2
developments 2
dirty 1
disappointment 1
distrust 1
dockens 1
dora 1
dour 1
down 3
downward 1
dreams 1
dry 1
dupes 1
during 2
dust 1
dwarfish 1
each 1
early 1
ease 1
eastern 1
editors 1
efforts 1
emerged 1
emphasis 1
end 1
enlarged 1
entitle 1
envisioned 1
established 1
europe 1
even 3
events 1
eventually 2
everyone 1
evolved 1
exactly 1
experiment 1
exploitation 1
expresses 1
extent 1
eyes 1
failed 1
failures 1
falls 1
families 2
family 2
far 1
farm 2
farming 4
fatcats 1
fatlipped 1
featured 1
feelings 1
felt 1
fence 1
fester 1
field 1
fiercely 1
figure 2
filled 1
following 1
football 1
footsteps 1
for 1
forced 1
form 1
frequently 1
from 6
frontier 1
further 2
futility 1
generations 1
going 1
gone 1
government 4
grand 1
great 3
greater 1
guessed 1
habitation 1
had 4
halfsection 1
hape 1
has 2
have 2
having 2
he 2
heavy 1
helps 1
here 2
hill 1
him 1
himself 1
his 9
home 1
homestead 3
homesteaders 1
homesteading 1
how 4
however 1
humbling 1
i 1
if 1
illusory 1
imagined 1
immigrants 1
important 1
impose 1
imposed 1
in 22
independent 1
indicated 1
initially 1
innocent 2
into 4
invitations 1
is 14
ismayjoe 1
isnt 1
it 9
its 5
j 2
james 1
joe 1
joy 1
june 1
just 2
kansas 1
land 8
landholders 1
language 2
last 1
learned 1
lease 1
leavingselling 1
left 1
life 1
like 1
line 1
lives 2
living 7
local 1
long 1
louis 1
lunches 2
make 5
making 1
manual 1
many 4
mayearly 1
memoir 1
mendacity 1
michael 1
milwaukee 1
misleading 1
modest 1
money 1
montana 5
more 2
most 1
move 1
moving 1
much 2
ned 2
neighbours 1
never 2
new 1
no 1
nor 1
northern 1
not 2
note 1
number 1
observed 1
of 41
off 1
on 10
once 1
one 6
only 1
optimism 1
other 2
out 1
outside 1
over 1
own 2
owners 1
pages 1
pamphlets 1
papercountry 1
papers 1
part 1
particularly 3
past 1
paths 1
pawn 1
people 4
percy 2
period 2
pictures 1
piece 1
place 2
places 2
plains 2
player 1
plots 1
pocket 1
point 1
portrayed 1
potential 1
poverty 1
prairie 2
present 1
previously 1
prior 1
probably 1
publicity 1
puts 1
quo 1
raban 3
rabbittoothed 1
railroad 1
railway 1
ranchers 1
real 1
realism 1
reality 2
realization 1
realize 1
realizing 1
really 1
rebellious 1
recounted 1
reeder 1
region 1
reminds 1
repeated 1
representative 1
represented 2
rest 1
returning 1
revenues 1
right 1
road 1
rodeo 1
rooted 1
ruination 1
rural 3
say 1
scene 1
scheme 2
scientific 1
season 1
seattle 2
see 1
seems 1
seen 2
sees 1
self 1
semiarid 1
send 1
sense 1
set 2
sets 1
settled 1
settlement 2
settler 2
settlers 5
settling 1
shadowy 1
sharp 1
shouted 1
similar 1
situations 1
sixty 1
so 2
societal 2
society 6
sociological 1
soil 1
some 1
someone 1
something 1
son 3
southeastern 2
spiral 1
stabilized 1
stable 1
started 1
states 4
status 1
stay 1
stories 1
story 1
struck 1
subsistence 1
succession 1
such 2
summed 1
support 2
survivors 1
teetering 1
terms 1
than 1
that 15
the 99
their 8
them 1
themes 1
themselves 4
there 5
these 1
they 2
things 1
thirties 1
this 5
thompson 1
those 4
through 1
throwing 1
time 2
to 27
towards 1
town 1
towns 1
trappings 1
trips 1
trouble 1
trying 1
uncomfortably 1
uneasy 1
united 3
unlimited 1
unpublished 1
up 1
utter 1
various 1
visitors 1
wa 1
was 8
way 1
welldressed 1
wellfed 1
were 2
westwards 1
when 2
where 3
which 1
who 7
wife 1
wild 2
william 1
willing 1
wire 1
with 4
wollaston 4
wollastons 1
words 1
world 1
would 5
yeargens 1
years 1
yet 1
young 1
