1894827
/m/064dd7
/m/064dd7
Richard Cytowic
2003-04

10 1
180 1
a 8
about 2
accounts 1
activation 2
additionally 1
affects 1
alcohol 1
alexander 1
also 3
alternated 1
among 1
amphetamine 1
amyl 2
an 2
and 11
anomalous 1
are 3
arent 1
around 1
article 1
as 4
autobiographical 2
background 1
based 1
basis 2
between 1
beyond 1
biological 1
book 4
brain 2
but 1
by 1
caffeine 1
can 1
career 1
chance 2
chapters 4
chicken 1
column 1
columns 1
comment 1
consistency 1
consistent 1
contacted 1
contacts 1
cool 1
cortical 2
cytowic 14
d 1
daily 1
data 1
dealing 1
decrease 1
decreased 1
depressants 1
described 1
describes 5
describing 1
detailed 1
details 1
different 1
dinner 1
discoveries 1
discusses 1
divided 1
done 1
dose 1
drawn 1
during 1
early 1
effects 1
efforts 1
emotion 2
encounter 1
enough 1
enquirer 1
entitled 1
essays 1
example 1
experienced 1
experiences 2
experimentation 1
experiments 1
explore 1
february 1
feel 1
feels 1
findings 1
first 3
fivefold 1
for 2
form 1
from 1
functional 1
generic 1
glass 2
hand 1
have 1
he 2
help 1
here 1
him 2
his 8
historical 1
host 1
how 7
if 1
in 14
include 1
including 1
increased 1
information 1
intensive 1
into 2
investigations 3
is 3
known 2
later 1
lead 1
led 3
like 1
limbic 1
links 1
lives 1
low 1
luria 1
maclean 1
mainly 1
major 1
make 1
man 1
many 2
means 1
memory 1
mind 1
mint 1
mnemonist 2
more 6
mw 9
national 1
neuroimaging 1
neurological 2
neuroscientific 1
nicotine 1
nitrite 2
not 1
noted 1
notes 1
noting 1
number 1
of 22
on 9
one 1
order 1
organized 1
other 1
our 1
over 1
overall 1
part 2
parts 1
party 1
paul 1
personal 2
phenomenon 2
placing 1
plays 1
points 1
practice 1
presents 1
primacy 1
processing 1
proposes 1
psychoactive 1
reduced 1
reflections 1
reported 1
reports 3
result 1
results 1
role 1
routine 1
russian 1
scientific 3
second 1
senses 1
shapes 1
shereshevskii 1
showed 1
solomon 1
stimulants 2
strength 2
style 1
substances 1
such 3
summarizes 1
synesthesia 16
synesthetes 2
system 1
tabloid 1
tasted 1
tested 1
that 6
the 26
their 1
theories 1
theory 2
there 1
these 2
this 1
time 1
to 7
traditional 1
triune 1
two 1
understanding 1
union 1
unusual 1
unusually 1
us 1
was 1
were 1
what 1
which 4
while 1
who 3
widely 1
with 5
work 2
world 1
