659058
/m/02p2smx
/m/02p2smx
Patrick O'Brian
1993
{"/m/02n4kr": "Mystery", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense", "/m/0hwxm": "Historical novel"}
a 28
aboard 5
about 1
absconder 1
abused 1
acquaintance 1
across 1
administration 1
affair 1
after 2
against 2
allows 1
also 3
american 1
amongst 2
an 4
and 22
animosity 1
annamooka 1
antagonizing 1
anticlarissa 1
are 2
aristocratic 1
army 1
as 5
assistant 1
at 3
aubrey 4
away 1
back 1
be 3
bearing 2
because 2
being 3
believing 1
between 1
black 1
blaine 1
board 1
body 1
bonden 1
bookkeeper 1
botanizing 1
both 1
british 2
brothel 2
but 3
by 7
can 1
captain 3
captured 1
carronades 1
caught 1
cause 1
certain 1
change 1
chase 1
chief 1
clarissa 7
cleft 1
clergyman 1
coded 1
colman 2
column 1
combination 1
comes 1
commanded 1
complete 1
confesses 1
consequently 1
convict 1
couple 1
crew 3
cutter 2
daisys 1
davidge 2
davies 1
day 1
defend 1
delicious 1
departs 1
describing 1
despite 1
determined 1
dismal 1
dispatches 1
dispute 1
dissension 1
divide 1
dosed 1
drives 1
duel 1
during 1
earlier 1
eclair 1
enemy 1
england 1
existing 1
experiences 1
express 1
eye 1
factions 1
feast 1
female 1
fills 1
first 1
firstly 1
flag 1
fleeing 1
following 1
food 1
for 1
formed 1
former 1
fought 1
franklin 2
french 2
frenchowned 1
frigate 3
from 2
furtrader 1
girl 1
given 1
giving 1
group 1
gun 3
had 2
hard 1
harvill 1
has 4
hastily 1
he 1
heart 1
held 1
her 5
hide 1
highlyplaced 2
him 1
his 2
honour 1
hospitable 1
hosted 1
however 1
illhumour 1
illwill 1
immediately 1
in 13
indifference 1
informant 1
inspection 1
instructing 1
intelligence 1
intercept 1
is 12
island 4
it 3
jack 6
jackson 1
jealousy 1
joseph 1
kalahua 2
killed 1
land 1
lands 1
later 2
laudanum 1
learns 1
leave 1
leaves 1
ledward 1
letter 1
level 1
liaisons 1
local 2
mail 1
main 1
married 1
martin 1
maturin 3
members 1
mentions 1
midshipman 1
moahu 3
name 1
new 1
newlyweds 1
nonchalance 1
nootka 1
norfolk 1
north 1
northern 1
nose 1
novel 1
oakes 6
observes 1
occasional 1
of 14
off 1
officer 1
officers 1
official 1
on 10
opens 1
orders 1
out 2
outlook 1
over 1
padeen 2
particularly 1
penal 1
picadilly 1
pick 1
port 2
privateer 2
proand 1
prostitute 1
proves 1
published 1
pullings 2
puolani 2
put 1
puts 1
puzzled 1
queen 1
quell 1
reaching 1
realises 1
received 1
remains 1
reprovisions 1
result 1
ribaldry 1
room 2
sailing 1
sails 2
sandwich 1
sea 1
secondly 1
secreted 1
seeking 1
sent 1
servant 1
sets 1
settle 1
settlement 1
several 1
sexual 2
sexually 1
she 2
ship 6
simply 1
sir 1
situation 1
skirmish 1
slaughter 1
smuggled 1
some 1
south 5
spot 1
spots 1
spreads 1
stay 1
stephen 4
stowaways 1
stumble 1
supported 1
surgeon 1
surprise 5
swordfish 1
sydney 2
terrific 1
that 4
the 54
their 1
them 1
then 1
there 2
these 1
they 4
this 2
to 17
together 1
tom 1
traitor 1
tribesmen 1
trip 1
truelove 4
turns 2
twentytwo 1
under 1
until 2
up 2
us 1
visit 1
visited 1
wainright 1
wales 1
walk 1
war 1
was 3
way 1
west 1
whaler 2
when 1
which 1
while 1
whitbybuilt 1
who 3
wishes 1
with 7
won 1
working 1
wray 1
young 2
