7932852
/m/026kjx6
/m/026kjx6
Myrtle Reed
1902
22 1
30 1
34yearold 1
a 19
abigail 3
about 3
abroad 1
accepts 3
acquaintance 1
after 1
aged 1
ago 2
agrees 2
ailment 1
ainslie 11
ainslies 2
alcoholism 1
all 3
also 4
although 3
among 1
an 7
and 31
announcement 1
anything 1
are 1
arrives 1
as 2
ashamed 1
asks 1
astute 1
at 4
atop 1
attic 3
aunt 4
aunts 5
aware 1
away 2
awful 1
bachelor 1
back 2
ball 2
be 2
because 1
been 2
before 1
believe 1
believes 1
between 1
boss 1
both 1
bridegroom 1
broken 1
but 8
by 3
call 1
capt 2
carl 7
carls 2
changed 1
changes 1
charles 2
child 1
childhood 1
children 1
china 1
christian 1
clippings 1
coast 1
coastal 1
coincidence 1
come 1
comfortable 1
community 1
confide 1
confides 2
courting 1
created 1
credit 1
curiosity 1
curious 1
date 1
days 1
death 1
demeanor 1
despite 1
died 3
difficult 1
discover 1
discovers 1
does 3
dream 1
dress 2
duration 1
each 1
earlier 1
elder 1
elopement 1
end 2
engaged 1
enjoyed 1
especially 1
everything 2
excitement 1
excuse 1
explain 1
eye 1
fall 1
fancies 1
father 1
feels 1
fellow 1
finds 2
fires 1
first 1
for 7
forcing 1
forgiveness 1
forms 1
forth 2
forward 1
found 1
friend 2
friendship 1
from 5
furniture 1
g 2
gibraltar 1
gifts 1
given 1
great 1
hadnt 1
hand 1
handsome 1
has 7
hathaway 2
hathaways 1
have 1
having 1
he 13
heads 1
heart 1
heathen 1
hepsey 5
her 27
hers 1
hes 1
hill 1
him 5
his 8
holiday 1
honeymoon 1
house 4
husbands 1
imagine 1
imagines 1
immediately 2
in 9
inquires 1
insist 1
insists 1
instead 4
intended 1
into 1
introduce 1
invitation 1
is 18
isnt 1
it 6
italy 2
items 1
james 1
jane 6
joes 1
joseph 2
journalist 1
keeping 1
keepsakes 1
knew 1
knows 1
lamp 2
later 1
laws 1
leaves 2
leaving 1
letter 4
letters 1
life 1
light 1
like 1
linens 1
lit 1
live 1
lived 1
locals 1
lodging 1
long 3
lost 1
love 2
made 1
maid 1
mainly 1
make 3
makes 1
man 3
many 1
marriage 2
married 3
mary 4
match 1
meet 1
mementos 1
met 1
mind 1
miss 15
more 1
mother 3
mr 4
mrs 2
much 1
mutual 1
mysterious 1
never 3
newspaper 1
newspapers 1
niece 2
night 1
no 3
nonetheless 1
not 4
notice 1
noticed 1
notices 1
now 2
ocular 1
of 13
oil 1
old 1
on 3
one 2
onto 1
other 1
out 2
overcome 1
own 1
partial 1
peculiar 1
pendleton 2
pendletons 1
perfect 1
perhaps 1
pillage 1
pillar 1
priest 1
probably 1
proposed 1
proposes 2
proud 1
purpose 1
put 2
puts 1
quaint 1
quickly 1
rather 1
read 1
reading 1
ready 1
receives 1
recognizes 1
remember 1
reprieve 1
resisted 1
returns 1
roguishly 1
roving 1
rush 1
rushes 1
ruth 23
sailors 2
saintly 1
scandal 1
schooner 2
sends 1
set 1
sets 1
share 1
she 20
shes 3
shop 1
signature 1
sister 1
sisters 1
small 1
so 1
solitude 1
some 4
son 1
spent 1
states 1
stayed 1
staying 2
stories 1
strangely 1
stumbles 2
sudden 1
suffers 1
suggesting 1
suggestion 1
surname 1
surprise 1
taken 1
taking 1
tell 1
than 1
that 8
the 31
their 4
them 2
then 1
there 2
theres 1
they 3
this 2
thorne 1
those 2
though 2
thrilled 1
time 2
to 27
told 1
too 1
torn 1
town 2
transformed 1
trip 2
truly 1
trunk 1
trusting 1
truth 1
turns 1
two 1
uncertain 1
union 1
unmarried 1
unwilling 1
unwittingly 1
up 2
upon 2
urge 1
using 1
very 1
vices 1
village 1
vision 1
visit 1
visits 1
waiting 1
walks 1
was 8
way 1
weatherby 2
wedding 4
well 1
when 4
where 1
which 2
while 1
who 2
whom 2
wife 1
will 4
winfield 8
with 7
without 1
witnesses 1
woman 2
women 1
word 1
worn 1
would 1
writing 1
years 3
young 4
younger 1
yours 1
