2454269
/m/07f7l2
/m/07f7l2
John Darnton
1996-04
40000 1
a 4
ago 1
american 1
and 5
anthropologist 1
any 1
are 4
arnot 1
around 1
because 1
becomes 1
been 1
by 3
cannibal 1
cannibalistic 1
captured 1
carbon 1
case 1
clue 1
competing 1
completely 1
dating 1
destroyed 1
do 1
doomed 1
escape 1
eventually 1
existed 1
explains 1
for 3
from 1
government 1
governments 1
have 2
hope 1
however 2
in 1
into 1
is 2
it 2
james 1
jeopardizing 1
kellicut 1
matt 1
mattison 1
missing 1
mountain 2
must 1
neanderthal 2
neanderthals 3
necessary 1
novel 1
of 4
old 1
only 2
peaceful 4
plot 1
power 1
protagonists 1
remote 1
revolves 1
rival 1
russian 1
safety 1
scientists 1
search 2
sent 1
should 1
shows 1
skull 2
so 1
society 1
soon 2
split 1
states 1
study 1
such 1
surviving 1
susan 1
that 1
the 13
their 3
they 1
to 5
train 1
tribe 6
tribes 1
try 1
twentyfive 1
two 2
united 1
valley 1
viewing 1
violent 1
war 1
was 1
who 1
without 1
would 1
years 2
