853815
/m/03hdll
/m/03hdll
Norman Mailer
1948
{"/m/02xlf": "Fiction"}
a 5
action 1
aggression 1
agonies 1
aide 1
alternating 1
american 1
an 1
and 15
are 1
army 2
as 5
becomes 1
between 3
book 1
brought 1
but 1
by 2
campaign 1
casualties 1
chapters 2
character 2
combat 2
command 1
competence 1
conflict 1
conflicts 1
contains 1
croft 1
cummings 1
danger 1
dead 3
deal 1
deals 1
death 1
depicted 1
depicting 1
depictions 1
description 1
descriptions 1
detailed 1
difficulties 1
down 1
drive 1
each 2
enlisted 1
established 1
even 1
everyone 1
family 1
fears 1
few 1
first 1
flaws 1
focuses 1
focusing 1
former 1
from 2
general 3
good 1
great 1
happy 1
hardship 1
has 1
hearn 3
highranking 1
his 2
in 4
individual 1
information 1
integrity 1
internal 1
international 1
ire 1
is 5
island 2
it 1
japanese 3
kindness 1
lasting 1
later 1
leading 1
lieutenant 2
life 1
little 1
mailer 1
malefemale 1
man 2
many 2
members 1
men 2
mercy 1
motives 1
mourning 1
naked 3
no 1
novel 5
novelist 1
occasionally 1
of 13
officers 2
on 4
ongoing 1
or 3
out 1
own 1
pacific 1
particular 1
past 1
personality 1
physical 1
platoon 1
posed 1
previously 1
protocol 1
published 1
questions 1
ranked 1
recognition 1
reconnaissance 1
regulars 1
relations 1
reputation 1
retrospective 1
ruthless 1
sales 1
scenes 1
sensitivity 1
sergeant 1
set 1
several 1
show 1
shown 1
single 1
soldiers 1
south 1
sparks 1
split 1
squad 2
still 1
suffer 1
the 32
there 3
thoughtfulness 1
to 4
top 1
trials 1
trying 1
under 1
was 1
well 2
where 1
who 1
with 1
withholds 1
