17039299
/m/0416fxc
/m/0416fxc
Peter Straub
1982
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/02xlf": "Fiction"}
180 1
a 9
abilities 1
abused 1
actor 1
adulterous 1
affluent 1
against 1
allbee 1
amateur 1
an 4
and 5
architect 1
at 2
baby 1
bar 1
befall 1
boy 1
brutally 1
by 3
career 1
chemical 1
child 1
conducting 1
connecticut 1
coverup 1
cycle 1
deals 1
defense 1
department 1
derailed 1
descendants 1
drawn 1
during 1
events 1
every 1
evil 1
extraordinary 1
fate 1
find 1
first 1
for 2
former 1
founders 1
four 1
friedgood 1
graham 1
hampstead 2
have 1
hearings 1
her 1
historian 1
housewife 2
hundred 1
husband 1
in 3
involved 1
is 2
leo 1
local 1
man 1
mccarthy 1
mccloud 1
meanwhile 1
murdered 1
named 1
novel 1
of 5
on 1
original 1
over 1
patsy 1
picks 1
plagues 1
plant 1
powers 1
research 1
returned 1
richard 1
same 1
screenwriter 1
set 1
she 1
similar 1
smithfield 1
spring 1
stony 1
struggling 1
suburb 1
summer 1
supernatural 1
tabby 1
that 2
the 12
themselves 1
thirty 1
time 2
to 1
together 1
town 2
up 1
was 1
way 1
whose 1
wife 1
williams 1
with 4
years 2
young 1
