6137040
/m/0fs2q3
/m/0fs2q3
Gordon Burn

166 1
a 2
alma 2
an 2
and 3
arch 1
around 1
as 3
backstage 1
book 1
bouts 1
bubbly 1
burn 2
business 1
but 3
by 1
celebrity 1
cogan 2
contrast 1
crueltiesincluding 1
days 1
detachment 1
die 1
disdainful 1
dismissive 1
does 1
drywitted 1
encounter 1
english 1
entirely 1
entrap 1
equal 1
even 1
evil 1
fame 1
fans 1
from 1
gruesome 1
heady 1
her 5
highly 1
however 1
in 4
intelligent 1
is 1
it 2
its 1
jaded 1
living 1
luxury 1
many 1
mildly 1
much 1
muses 1
narrates 1
nature 1
near 1
neither 1
nor 1
not 2
novel 1
observer 1
of 6
on 1
past 1
persona 1
pitfalls 1
poverty 1
proves 1
public 1
quiet 1
recounts 1
relic 1
residual 1
retires 1
seashore 1
serves 1
she 2
show 1
showbiz 1
solitude 1
sometime 1
sordid 1
stardom 1
the 8
thereafter 1
through 1
tie 1
to 4
unexpected 1
unforeseen 1
unwanted 1
violenceas 1
which 1
who 1
with 2
world 1
worshipped 1
worshipper 1
