6833926
/m/0grnxx
/m/0grnxx
Terry Brooks
1993-03
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 6
about 3
against 4
aid 2
all 6
allanon 3
allies 1
almost 1
also 1
among 1
an 1
and 40
appear 1
appears 1
arborlon 1
are 4
army 10
as 4
asks 1
at 6
attack 2
attacked 1
attacks 1
attempt 2
axhind 1
back 2
backfiring 1
barsimmon 1
battles 1
be 3
beauty 1
been 3
before 3
behind 1
being 2
body 1
boh 7
born 1
both 1
bound 1
brakes 1
break 1
bringing 1
brother 1
burn 1
but 2
by 14
call 1
captured 2
carried 1
cat 2
chandos 1
charges 1
clash 1
cogline 1
coll 7
come 2
confidence 1
control 1
creatures 1
creel 3
creepers 4
crumbles 1
crush 1
cured 1
dall 6
damson 6
dark 1
day 1
dead 1
death 2
deceive 1
deceived 1
decides 1
deep 1
defeating 1
desidio 1
destroy 2
destroying 1
destroys 1
destruction 1
discovers 2
disguise 1
dispatches 1
down 2
draining 1
dreams 1
due 1
during 1
dwarves 1
earth 4
eastland 1
elf 1
elven 5
elves 7
enough 1
escape 1
even 1
fall 1
famine 1
faun 3
fears 1
federation 5
fight 2
fights 1
finally 2
finds 1
first 2
fly 1
follows 1
for 1
forces 1
forest 1
former 1
fought 1
found 1
four 3
free 1
freeborn 2
frees 1
friend 2
from 6
fruition 1
fulfilled 1
further 1
gain 1
give 1
gives 1
go 1
goes 1
ground 1
group 1
growing 1
guards 1
had 1
half 2
happened 1
happens 1
has 5
have 2
he 8
head 1
headed 3
help 8
helps 1
her 7
him 3
his 5
home 1
horsemen 2
however 2
imprisons 1
in 8
informs 1
inherited 1
into 2
is 14
its 1
join 1
journey 1
just 4
kill 1
kills 1
king 1
knowing 1
knowledge 1
laid 2
lake 1
land 1
lands 2
later 1
lead 1
leader 1
leads 1
leah 7
learns 1
left 1
lose 1
losing 1
lost 3
lying 1
magic 6
manages 2
matted 1
matty 6
meet 1
men 2
met 1
mind 1
minister 1
moor 2
more 1
moreover 1
morgan 7
north 2
now 1
of 30
ohmsford 21
ohmsfords 2
old 1
on 3
oridio 1
other 1
out 3
own 1
padishar 3
par 12
paranor 3
partially 1
patrol 1
pestilence 1
power 1
powers 2
problems 1
rainbow 1
realize 1
realizes 1
really 2
received 1
release 1
rescue 4
rescued 2
rescues 1
responsible 1
restored 1
revealed 1
rhee 6
rimmer 6
river 1
roc 1
rock 1
roh 6
rumor 2
same 2
saves 1
scions 2
search 1
second 1
sends 1
sets 1
shade 1
shadowen 12
shannara 6
she 3
sickness 1
side 1
silver 1
slave 2
south 2
southlander 1
southwatch 8
squeak 1
starts 2
steadily 1
stolen 1
stones 1
stresa 1
stronghold 1
struggle 1
struggles 1
successfully 1
summon 1
sword 6
taken 1
that 6
the 75
their 4
them 2
then 4
these 1
they 4
through 1
tiger 5
time 2
to 39
together 1
towards 1
tracked 1
traders 2
trap 2
traps 1
travel 2
traveling 1
tree 1
triss 4
trolls 2
truly 1
truth 1
trying 1
ty 5
type 1
uncontrollable 1
under 1
untrue 1
up 2
use 1
using 1
victory 2
wagon 1
walker 8
wants 1
war 3
was 3
way 2
well 1
were 1
what 1
when 2
where 1
which 4
who 5
whose 1
wishsong 2
with 10
works 1
wren 12
