3267449
/m/092b58
/m/092b58
Leon Uris


100 1
122 1
130s 1
136 1
14 1
140s 1
147 1
181 1
2 1
a 32
abandon 1
abandoning 1
abd 1
abdullah 1
abdullahs 1
able 3
about 1
absentee 1
accepting 1
account 1
acknowledges 1
actually 1
after 4
afterwards 1
against 5
ahmed 1
aims 1
al 2
alhusayni 2
along 2
alqadir 1
alqawuqji 4
alqawuqjis 1
also 3
altered 1
alternative 1
amin 1
amman 1
an 5
and 41
aqabat 1
arab 7
arabian 1
arabic 2
arabs 1
archeologist 1
are 7
area 1
around 1
arrange 2
arranged 1
arrest 1
artifacts 1
as 9
asch 7
assembly 2
asserts 1
at 8
attack 2
attempt 1
auto 1
back 1
background 1
bakshir 2
bank 1
bassam 2
battle 1
be 2
bear 1
become 2
becomes 1
becoming 1
beduin 1
before 1
begins 1
being 2
bethlehem 1
between 1
biggest 1
boat 2
bond 1
book 1
born 1
bought 1
brave 1
british 1
broadcasts 1
brotherhood 1
brothers 1
brought 1
brutally 1
building 1
business 1
but 14
by 12
camp 2
can 2
caught 1
cave 2
challenged 1
chance 1
charles 2
child 1
christian 2
church 1
citys 1
claim 1
classrooms 1
clever 1
climax 1
close 1
clovis 1
coexistence 1
coffeehouse 1
colonel 1
come 1
commission 1
commissions 1
committee 1
communitys 1
compelled 1
condition 1
conference 5
conferences 1
constantly 1
contact 6
contacts 1
continue 1
continued 2
continues 1
contrary 1
convince 1
correctly 1
crazy 1
credentials 1
crisis 1
culture 1
cursing 1
cypriot 1
damascus 2
daughter 1
dead 1
deal 2
death 1
defeated 1
deir 1
delusional 1
depiction 1
desert 3
despite 1
destroy 1
develop 1
develops 1
dies 1
difficult 1
disappointment 1
disaster 1
discover 1
discuss 1
disfigured 1
disgrace 1
dishonors 1
dissolution 1
distance 1
does 3
dr 1
drive 1
during 3
early 1
effendi 2
egyptsupported 1
el 1
electricity 1
emotions 1
encourages 1
ends 2
enemy 1
enlarge 1
escape 2
establish 1
establishment 1
evacuate 1
even 2
eventually 2
ever 1
evidence 1
expected 2
expresses 1
face 2
failure 1
family 10
familys 1
farid 1
farmers 1
father 3
fawzi 4
feel 1
fever 1
fiery 1
financial 1
find 2
firm 1
first 1
fit 1
followers 1
foot 1
for 10
forces 1
found 1
friend 1
friendship 3
from 3
further 1
gang 2
gangrape 1
gave 1
gaza 1
general 4
generally 1
gideon 4
gifts 1
give 3
given 1
gives 1
going 1
gradually 1
grand 1
graphically 1
great 2
greater 1
greek 1
group 1
guess 1
had 3
haganah 1
hagar 1
haj 8
has 3
hatred 1
have 1
he 12
heard 1
heart 1
help 1
helps 4
hide 1
him 12
himself 1
hire 1
his 29
history 1
home 1
homes 2
hope 2
however 1
humiliation 1
i 1
ibrahim 22
ibrahims 1
if 1
in 41
inability 1
includes 1
including 1
informs 1
infuses 1
inherited 1
insane 1
international 1
into 1
introduces 1
involved 1
irgun 1
is 13
ishmael 5
ishmaels 1
isolation 1
israel 1
it 5
its 1
jaber 1
jaffa 4
jamil 2
jenin 1
jericho 2
jerusalem 2
jewish 2
jews 6
journey 1
kabir 4
keep 2
kibbutz 5
killed 1
king 1
lacking 1
land 3
landlord 1
later 1
