19254563
/m/04ljc7p
/m/04ljc7p
Stephen Baxter
2008
{"/m/06n90": "Science Fiction"}
201 1
2016 1
2020 1
2035 1
2041 1
2044 1
2048 1
2052 1
a 28
abandonment 1
aboard 1
above 2
affluent 1
aforementioned 1
africa 2
after 3
ago 1
all 1
along 2
already 1
altering 1
amanda 4
america 2
american 1
americas 1
an 2
and 51
andes 2
antarctica 1
apart 1
aquatic 1
are 5
ark 12
around 1
arrive 1
as 15
asia 1
asks 1
assert 1
at 6
atlantic 1
attributable 1
australia 1
aware 2
away 1
axyscorp 4
back 1
barcelona 1
baxter 1
be 3
become 1
becomes 1
been 3
before 2
befriends 1
benj 2
billion 1
board 2
book 1
both 1
boyle 1
british 1
brooke 1
building 1
bunker 1
burst 1
but 4
by 13
california 1
called 1
can 1
cannibalism 1
cannot 1
capital 1
captain 1
captivity 2
catalonian 1
catastrophic 1
ceo 1
certain 1
change 1
changerelated 1
changes 1
chapter 1
characters 3
child 1
children 4
christian 1
cities 2
city 2
civilization 2
climate 2
closing 1
coast 1
coastal 2
colorado 1
comrades 1
conceived 1
consequences 1
constant 1
contact 1
contingency 1
contingent 1
continue 1
continues 1
continuously 1
control 1
corporation 1
created 1
culture 1
current 1
dartmoor 1
daughter 2
dc 1
dead 1
deaths 1
decades 2
decrepit 1
deep 1
demolished 1
denver 2
descendant 1
despite 1
destroy 1
devastating 1
die 1
diminishing 1
discloses 1
diving 1
earlier 1
earth 3
eastern 2
eclipse 1
effects 1
elite 1
elsewhere 1
end 2
ends 2
england 1
english 1
ensured 1
environment 1
environmental 1
equilibrium 1
eroded 1
estimates 1
estranged 1
europe 1
evacuated 2
evacuation 1
everest 2
exceed 1
except 1
executed 1
exist 1
experience 1
explained 1
exponentially 1
extent 1
extinction 1
extremist 1
falling 1
family 2
few 1
fifth 1
finding 2
five 2
flooded 2
flooding 2
floods 2
floodwaters 1
for 10
foreign 1
foreshaw 1
former 4
four 3
fragmented 1
fragments 1
friend 1
from 6
gary 4
get 1
given 1
global 3
go 1
government 1
grace 5
grandchildren 1
gray 2
greenland 1
ground 1
group 1
groups 1
had 1
hammond 1
hands 1
has 4
have 7
he 3
head 1
