1318458
/m/04shh8
/m/04shh8
Brian Jacques
2002
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 13
abbey 3
able 2
adder 1
adders 2
adventure 1
afar 1
agarnu 3
an 4
ancestral 1
ancient 1
and 37
are 6
army 2
artifacts 1
as 2
at 1
attempt 2
away 2
badger 1
badgers 1
battle 2
become 1
been 1
berussca 1
bescarum 1
bikkle 1
birds 1
bladd 2
bluddbeak 1
both 2
bound 1
bow 1
bring 1
brings 2
brockhall 3
but 8
by 13
captained 1
captured 1
chain 1
chased 1
children 1
churk 1
colonel 1
concentrates 1
continue 2
contraband 1
creatures 1
crew 1
cross 2
crown 1
cruel 1
dagger 1
decide 1
decode 1
defeat 1
dehydrated 1
denizens 2
destroyed 1
destroying 1
dibbuns 1
die 1
dies 2
difficult 1
discover 1
disregard 1
drawn 1
dreams 1
drowned 1
drufo 1
during 1
efforts 1
elsewhere 1
encounter 1
enslaved 1
ensuing 1
enter 1
escape 1
escapes 2
eventually 1
explore 1
face 1
falling 1
falls 2
far 1
father 2
fend 1
ferret 1
find 1
finds 1
firetail 2
for 3
fortunately 1
free 1
friend 2
friends 2
from 1
giving 1
go 1
golden 2
groo 2
h 1
had 1
hamster 1
harssacss 2
he 1
hedgehogs 1
heir 1
helps 1
her 10
hidden 1
hightor 1
him 1
hint 1
hires 1
his 4
hold 1
home 1
house 1
immediately 1
in 13
inhabited 1
injures 1
interpret 2
into 1
is 11
island 1
isle 1
it 6
its 1
journey 2
ketch 2
kill 1
killed 3
king 4
kite 1
kroova 6
kurda 7
later 1
leads 1
leave 1
lepuswold 1
lightning 1
logalog 1
long 1
lord 2
love 1
mace 1
markings 3
martin 2
meanwhile 2
meet 1
message 2
middle 1
mokug 2
mossflower 3
mountain 1
must 1
name 1
need 1
newfound 1
niece 2
north 1
o 1
oatmeal 1
of 18
off 3
offspring 1
on 7
one 2
order 1
others 2
otter 1
otters 1
over 1
ovus 1
owl 1
own 1
owners 1
paths 2
patrol 1
pattern 2
pawring 2
peace 1
pine 1
pirate 1
plugg 3
poisoned 1
possession 1
pot 1
previous 1
prince 1
princess 1
property 1
queenship 1
r 2
ratguard 2
ratguards 1
reattaches 1
rebellious 1
red 1
redwall 5
redwallers 4
remain 1
remains 1
rescued 3
resin 1
respectively 1
return 1
riddle 2
riftgard 5
riftguard 2
royal 2
ruggum 1
run 1
safety 1
sagax 6
sagaxus 1
sail 1
salamandastron 1
same 2
sarengo 3
scarum 5
script 1
sea 1
seal 1
searches 1
seascab 3
see 1
sees 1
serpents 2
sesstra 2
set 1
she 1
ship 2
shogg 7
side 1
similar 1
skipper 4
slain 1
slave 1
slaves 3
slayed 1
sleeve 1
snakes 2
solve 1
south 1
southward 1
stake 1
standing 1
stays 1
stopdog 2
storm 1
strange 1
sway 1
sword 2
swordmaid 1
take 1
tawny 1
that 2
the 52
their 3
them 5
then 1
there 2
they 11
though 1
three 1
to 19
together 1
triss 10
trisscar 1
try 1
turn 1
up 3
urtica 1
vermin 1
vessel 1
visits 1
warrior 1
wavedog 1
way 1
wears 1
welfo 2
where 1
which 2
while 3
whippscut 2
who 4
wielding 1
wind 1
with 14
woods 1
zassaliss 2
