16838684
/m/07s82zg
/m/07s82zg
Randy Pausch
2008-04-08
{"/m/05h83": "Non-fiction"}
a 3
about 1
after 1
also 1
and 3
be 2
because 2
being 1
between 1
book 1
bus 2
by 2
cancer 3
childhood 1
children 3
death 1
denial 1
discusses 2
does 1
dying 1
even 1
everything 2
family 1
finding 1
fleshes 1
for 1
fullest 1
fun 1
had 2
happy 1
have 3
he 13
health 1
him 2
his 8
hit 2
if 1
in 3
includes 1
it 2
its 1
know 2
knows 1
last 1
learn 1
lecture 2
lessons 1
life 2
like 1
live 1
looked 1
medium 1
might 1
never 1
nor 1
not 1
of 2
one 4
opportunity 1
out 1
overwhelmed 1
pancreatic 1
pausch 2
people 1
perfect 1
prepare 1
rather 1
remarks 1
repeatedly 1
should 2
spent 1
states 1
stories 1
stresses 1
taken 2
than 1
that 4
the 4
them 1
things 1
though 1
time 1
to 5
told 1
wanted 1
wants 2
was 2
were 1
when 1
with 1
would 2
