1184942
/m/04fdns
/m/04fdns
Moyra Caldecott
1989-06
{"/m/0hwxm": "Historical novel"}
3500 1
a 2
ago 1
akhenaten 1
allpowerful 1
also 1
ambitious 1
amun 3
ancient 1
and 4
as 1
bestowing 1
by 1
caldecotts 1
chief 1
chronologically 1
daughter 3
egypt 2
egyptian 1
established 1
female 1
first 1
god 1
hatshepsut 3
his 1
includes 1
is 1
king 1
land 1
moyra 1
of 6
part 1
place 1
power 1
priesthood 1
ra 1
riches 1
ruled 1
ruthless 1
sequence 1
son 1
sun 1
takes 1
the 4
tutankhamun 1
unprecedented 1
which 1
who 1
with 1
woman 1
worldly 1
years 1
