11996030
/m/02vlbfg
/m/02vlbfg
Brandon Mull
2008-04-21
{"/m/01hmnh": "Fantasy"}
3d 1
a 6
abilities 1
able 1
accusation 1
almost 1
also 1
and 16
another 2
apply 1
are 6
arizona 1
artifact 2
artifacts 1
as 5
at 4
back 1
be 4
before 1
begins 1
book 2
box 1
brings 1
burgess 1
but 1
by 4
called 1
can 3
captain 1
caretaker 1
central 1
changed 2
chronometer 1
clear 1
confronted 1
contaminated 1
correct 1
coulter 1
created 1
creatures 7
dale 1
dark 1
darkened 1
darkness 2
dawn 1
demon 1
demons 1
destroying 1
destroys 1
dies 2
difficult 1
discovers 2
disease 1
dougan 1
dragon 1
dungeon 1
during 1
dwell 1
dying 1
energy 1
enter 2
evening 1
exception 1
explains 1
fablehaven 8
fairy 3
famous 1
far 1
filled 1
finally 1
first 2
fisk 1
followed 1
for 1
form 1
forward 1
friends 1
from 4
gained 1
gavin 1
get 1
giants 1
go 1
goblins 1
grandma 1
grandpa 1
graulas 2
had 1
happening 1
has 2
he 2
hear 1
help 2
helped 1
helps 1
her 1
hidden 1
house 1
how 1
however 1
humans 1
immediately 1
in 3
into 1
introduced 1
is 5
it 2
kendra 4
knights 1
language 2
leave 1
left 1
lena 2
lieutenant 1
light 5
located 1
longer 1
lost 2
made 2
magical 2
main 1
make 1
many 1
meanwhile 1
mesa 2
more 1
most 1
must 3
nail 5
never 1
new 5
no 1
of 15
off 1
one 1
only 1
or 1
out 1
patton 2
pebble 4
person 1
places 1
plague 7
present 1
preserve 5
prisoner 1
prisoners 1
problem 1
protect 1
prove 1
pulling 1
queen 2
quiet 1
recover 1
recovered 1
recovers 1
recruited 1
released 1
requested 1
residence 1
revenant 1
reversed 1
rose 1
rules 1
same 2
save 2
second 2
secret 1
seen 1
seth 5
shadowcharmer 1
shadows 1
shadowwalk 1
she 1
should 1
shrine 2
silvian 1
so 2
society 2
someone 2
something 1
sometime 1
sorenson 1
speak 1
spreads 1
star 1
state 1
stops 1
strange 1
such 1
summer 2
tamer 1
tanu 1
that 5
the 45
their 1
them 1
themselves 1
then 1
they 1
things 1
this 1
though 1
three 1
throughout 4
time 2
to 9
told 1
touch 1
touches 1
transformed 1
trolls 1
troubles 1
trusted 1
underneath 1
united 1
unveils 1
vanessa 1
visit 1
voices 1
warren 2
was 2
when 1
where 2
who 1
whoever 1
will 3
with 5
year 1
