12055056
/m/02vn9g2
/m/02vn9g2


{"/m/01z4y": "Comedy"}
160 1
5 1
a 8
agrees 1
american 1
an 3
and 4
arab 1
arranging 1
as 1
assignment 1
becomes 1
between 1
blackmails 1
blatty 1
by 1
cheerleader 1
cia 1
coach 1
cold 1
college 1
comic 1
concerns 1
country 1
crashes 1
dame 1
department 1
diplomatic 1
direction 1
discovers 1
down 1
ericson 1
exhibition 1
famous 1
fawz 1
fawzia 1
fighting 1
football 3
for 2
former 1
francis 1
from 1
game 1
gary 1
goldfarb 3
harem 1
he 1
help 1
him 1
his 3
in 4
incident 2
inspired 1
interested 1
international 1
into 1
involving 1
irish 1
is 2
jenny 2
john 1
journalist 1
king 3
kingdom 1
leader 1
longer 1
made 1
magazine 1
malfunctions 1
may 1
member 1
mythical 1
no 1
notre 1
now 1
of 4
on 1
once 1
operative 1
over 2
own 1
pilot 1
plane 2
powers 1
quarterback 1
ran 1
romantically 1
scores 1
seeks 1
she 3
shot 1
soviet 1
soviets 1
sparking 1
spoof 1
spy 1
star 1
state 1
tale 1
team 2
the 15
then 1
thinking 1
threatens 1
to 3
touchdown 2
turn 1
u2 2
undercover 1
union 1
university 1
unless 1
us 1
war 1
was 3
when 1
who 3
whose 1
winning 1
wives 1
wrong 2
wrongway 1
yards 1
