425371
/m/026zjf
/m/026zjf
Gentry Lee
1989
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
70 1
a 5
abortion 1
abuse 1
after 1
alien 1
almost 2
an 1
and 8
are 1
arise 1
arrival 1
as 1
astronauts 1
between 1
both 1
brings 2
but 1
characters 1
clarke 1
colonies 1
conflicts 1
contemporary 1
crew 1
crime 1
crisis 1
deactivation 1
deconstruct 1
depicted 1
des 1
different 1
drug 1
economic 1
elements 1
ends 1
enters 1
entirely 1
events 1
expected 1
expedition 1
fiction 1
find 1
focused 1
follows 1
for 2
forced 1
forward 1
future 1
global 1
hard 1
human 1
ii 2
inside 1
into 1
is 3
issues 1
it 2
its 3
jardins 1
largely 1
like 1
michael 1
more 1
mostly 1
mysteries 1
new 2
nicole 1
of 6
on 1
organized 1
original 1
otoole 1
our 1
out 1
own 1
racism 1
rama 6
raman 1
regarding 1
rendezvous 2
richard 1
science 1
scientific 1
second 1
sent 1
sequels 2
serves 1
set 1
solar 3
spacecraft 1
story 1
storytelling 1
stranded 1
system 3
that 3
the 10
their 1
them 1
then 1
they 1
three 1
through 1
throughout 1
to 3
total 1
travels 1
twelve 1
unlike 1
unlock 1
unprepared 1
unrelated 1
up 1
utopian 1
very 1
vessel 1
vision 1
wakefield 2
what 1
which 1
with 3
wonders 1
years 1
