5936650
/m/0ffdz8
/m/0ffdz8
Tamora Pierce
1998
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 20
about 2
adults 1
afoot 1
all 6
along 1
also 1
an 1
and 37
appear 1
apprentice 1
are 5
arrived 1
as 3
at 1
attack 2
attempts 1
away 2
aymery 7
baby 1
bandages 1
barrier 1
bash 1
be 1
because 1
been 2
before 1
begin 1
begins 2
belongings 1
bits 1
blast 1
blind 1
blown 1
blows 2
boat 1
book 1
boomstone 1
boomstones 1
bowl 1
box 1
briar 9
bring 1
broken 2
brought 1
but 2
by 4
call 1
can 1
capture 2
care 1
cares 1
caught 1
chains 1
chief 1
cinnamon 2
circle 7
claims 1
combined 1
come 1
comes 2
coming 1
confront 1
containing 1
cool 1
corner 1
cousin 1
cove 1
cruel 1
crystal 1
daja 9
deal 2
decides 2
dedicate 5
defend 1
descent 1
destroy 2
destroying 1
did 1
discipline 2
drops 1
duke 1
during 1
dying 1
early 1
earring 2
eating 1
effort 1
emelan 1
enahar 3
encloses 1
even 1
every 1
everyone 1
examine 1
extra 1
eye 1
father 1
finally 1
finds 5
fleet 3
following 1
for 6
forced 2
forgetful 1
four 2
from 2
frostpine 3
future 1
gate 1
get 2
gets 1
glassfire 1
go 1
goes 2
goldeye 1
gorse 1
grow 1
gunpowder 1
had 2
hair 1
hard 1
harm 1
has 2
have 1
he 9
head 1
heard 1
hears 2
heat 1
help 5
helpless 1
helplessness 1
her 13
herself 3
hidden 1
him 2
his 2
home 2
huge 1
if 1
ill 1
immediately 1
in 10
information 1
injured 1
into 1
invisibility 1
invisible 2
is 6
it 4
iv 1
jewellery 1
join 1
jumping 1
kill 1
killed 1
kirel 1
kitchen 1
lack 1
lark 2
later 1
lead 1
leave 1
leaves 1
lets 1
letter 1
lighthouse 1
lightning 4
like 1
link 1
links 1
little 1
locked 1
looking 1
lost 1
maddened 1
mage 2
magic 2
magical 1
magically 2
make 3
many 2
mates 1
medicine 1
metal 1
midnight 1
mirror 2
mirrors 1
moonstream 1
more 3
morning 2
nails 1
nearby 1
net 1
never 1
new 1
next 1
night 1
niklaren 1
niko 4
novice 2
of 20
off 1
oil 1
on 9
one 2
only 1
out 3
people 1
piece 1
pirate 2
pirates 10
place 1
plants 1
poppy 2
power 1
practices 1
progresses 1
protect 1
protecting 1
pulling 1
pulls 1
quickly 1
realize 2
realizes 2
recognized 1
refuses 1
repair 1
repairing 1
repairs 1
rest 1
returns 1
reveals 1
rosethorn 2
ruins 2
ruler 1
sandry 7
saying 2
scent 1
seeds 1
seemingly 1
sees 1
send 1
sends 2
several 1
she 8
ship 1
ships 3
short 1
side 1
sign 1
signs 1
slaves 2
slowly 1
small 2
smells 1
so 3
some 3
someone 1
south 1
sphere 1
starling 1
start 2
staying 1
stray 1
strength 1
string 2
substance 1
suddenly 1
summer 1
superior 1
sure 1
take 2
takes 3
talking 1
targets 1
teacher 1
teachers 1
telling 1
tells 3
temple 1
tests 1
thanks 1
that 11
the 51
their 4
them 2
then 2
there 2
they 6
thickly 1
this 1
thorny 1
though 1
three 1
through 3
time 1
to 24
together 1
toward 1
tower 1
traps 1
tries 1
tris 18
trouble 1
trunk 1
trying 1
turnover 1
two 1
uncle 1
unmistakable 1
up 6
use 1
used 1
useless 1
uses 1
using 1
vedris 1
very 1
vision 1
voices 2
wall 3
wanted 1
wardrobe 1
was 1
water 1
weapons 1
weeks 1
when 9
whereupon 1
which 1
while 3
who 1
wind 2
winding 7
winds 1
with 9
word 1
working 1
would 1
wounded 1
zapping 1
