3205275
/m/08z615
/m/08z615
Jules Verne
1886
a 23
aboard 1
about 1
accepting 1
actually 1
admit 2
admitted 1
adventures 1
aeronaut 1
after 2
again 1
air 5
airplanes 1
albatross 19
all 3
along 1
alongside 1
aloof 1
already 1
always 1
an 1
anchored 1
and 30
angry 1
another 1
apparatuses 1
appearance 1
appears 3
are 13
argument 1
around 1
as 8
asked 1
at 6
atop 1
attack 1
away 1
back 2
bags 1
ballast 1
balloonboosters 1
be 4
bears 1
because 1
been 4
begins 2
behind 2
being 1
believers 1
black 2
blaring 1
board 2
borne 1
both 2
brilliant 1
bring 1
brings 1
built 2
buoyancy 1
busy 1
but 6
by 5
called 3
cannot 1
capped 1
captive 1
captives 1
cautions 1
chase 1
chastises 1
chatham 1
circling 2
club 1
come 1
compared 1
completed 1
conclude 1
conqueror 1
conquest 1
constructing 1
course 1
coward 1
craft 2
created 1
crew 6
crewmen 1
crowd 3
damaged 1
day 1
decide 1
demand 1
demonstrate 1
demonstrated 1
descending 1
descent 1
describe 1
described 1
design 1
desires 1
destroy 1
dirigible 3
discovering 1
discussion 1
drops 2
during 2
egypt 1
eiffel 1
english 1
enough 1
entirety 1
epithet 1
escape 2
escaped 1
escapees 1
events 2
evolution 1
exact 1
exceeds 1
expectations 1
explained 1
exploded 1
explodes 1
falls 1
fantastic 1
faster 1
fearing 1
feet 1
figuratively 1
final 1
finally 1
find 1
firm 1
fit 1
flag 1
flags 1
flight 1
flightenthusiast 1
flying 3
follows 1
for 5
forever 1
formulate 1
fourteen 1
from 1
front 2
fuse 1
future 1
gas 2
giant 1
giza 1
goahead 10
gohead 1
gold 1
golden 1
great 1
greater 1
ground 1
group 2
had 3
has 7
have 2
having 3
he 10
heated 1
heavier 2
height 1
held 1
helicopter 1
helicopters 1
her 3
him 4
himself 1
his 7
historic 1
horizontal 2
huge 2
if 2
in 11
incites 1
including 1
inhabited 1
institute 7
institutes 1
intact 1
intends 1
into 2
intrudes 1
inventor 1
is 13
island 2
islands 1
it 9
its 4
journey 1
just 1
kidnapping 1
kidnaps 1
kite 1
landmarks 2
last 1
later 4
lateral 1
leading 1
least 1
leaves 1
liberty 1
light 1
lighter 2
lights 1
like 1
long 2
losing 1
machine 2
made 2
maiden 1
make 2
making 1
maneuverability 1
maneuverable 1
mankind 1
many 2
marvels 1
master 1
mean 1
meanwhile 1
meeting 3
members 4
men 1
menace 1
mercy 1
mob 1
months 1
more 1
movement 1
music 2
mysterious 2
nations 1
new 2
night 1
not 2
notions 1
now 1
oak 1
ocean 1
of 25
on 5
one 4
only 2
operate 1
operated 1
or 3
original 1
out 2
outside 1
over 3
paris 1
passengers 1
pennsylvania 1
philadelphia 2
pilot 1
place 1
plans 1
playing 1
plunge 1
point 1
president 3
presidents 1
pressure 1
promise 1
propeller 3
propellers 4
provide 1
pull 1
push 1
pyramid 1
quercus 1
raft 1
rapidly 1
rather 2
refuse 1
release 1
remain 1
remains 1
repairs 1
reported 1
rescued 2
return 3
returns 1
reveal 1
revealed 1
revenge 1
revolution 1
rises 1
robur 18
roburs 1
rotorcraft 1
rule 1
rupture 1
safe 1
same 1
saving 1
says 2
scene 1
secret 1
secretary 3
secrets 1
seeking 1
seizes 1
seven 1
shall 2
she 1
ship 3
short 1
should 1
showing 1
sighted 1
signalling 1
similar 2
simply 1
skies 3
sky 3
slowed 1
small 1
so 4
some 1
sounds 1
speak 1
specific 1
speech 1
speed 1
states 1
statue 1
stays 1
still 1
storm 1
story 1
strange 1
strength 1
such 2
suddenly 1
sun 1
suns 1
superior 1
superiority 2
taken 1
takes 2
tall 1
than 7
that 18
the 91
their 7
them 8
then 2
there 1
these 1
they 11
thousand 1
three 3
time 1
title 1
to 29
tower 1
trivial 1
trumpet 2
try 1
two 2
unfeasible 1
union 1
until 1
unwilling 1
used 1
using 1
valet 2
vanish 1
vertical 1
vessel 3
view 1
voyage 1
was 2
weeks 1
weldon 7
were 1
when 4
where 3
which 1
while 1
who 1
will 2
with 7
without 1
work 2
world 2
would 1
wreckage 1
wrong 1
x 1
yet 1
york 1
