202383
/m/01crhg
/m/01crhg
Franz Kafka
1919-10
a 2
about 1
accompanied 1
account 1
accused 1
advanced 1
against 1
allowed 1
always 1
an 1
and 13
are 1
as 2
associated 2
be 4
becomes 1
been 1
before 2
begs 1
behalf 1
belief 1
believes 1
blueprints 1
board 1
boat 1
body 1
broken 1
brutal 1
built 1
but 2
by 4
called 1
can 3
carries 1
clear 1
colony 1
commandant 5
condemned 4
continued 1
control 1
current 2
dead 1
death 1
decipher 1
denying 1
designed 1
device 1
die 1
disrepair 1
do 1
documents 1
due 1
easily 1
elegant 1
else 1
encountering 1
epiphany 1
eventually 1
everything 1
executed 2
experience 2
explorer 5
fact 1
fallen 1
favor 1
first 1
focuses 1
followers 1
for 2
form 1
found 1
frees 1
from 1
give 2
grave 1
guilty 1
handle 1
has 3
he 11
him 5
himself 2
his 4
hours 1
house 1
however 1
in 5
infallibility 1
initially 1
inscribed 1
inscription 1
instantly 1
instead 1
is 10
it 5
its 7
just 1
justice 2
killing 1
last 2
law 1
leave 2
low 1
machine 9
makes 1
malfunctions 1
more 1
mystical 1
nearby 1
no 1
nostalgic 1
not 1
of 13
officer 7
official 1
old 1
on 4
once 1
one 1
only 1
operation 1
opinion 1
out 1
over 1
person 1
placed 1
placidly 1
prepares 1
previous 1
prisoners 1
privately 1
process 1
properly 1
proponent 1
publicly 1
purpose 1
quickly 1
refuses 1
regarding 1
religious 1
repelled 1
rise 1
says 1
sentenced 1
set 1
sets 1
shown 1
six 1
so 2
soldier 3
someday 1
speak 2
stabs 1
state 1
states 1
stone 1
story 1
strongly 1
table 1
take 1
tea 1
tells 1
that 5
the 52
their 1
them 1
these 1
this 1
time 1
to 14
told 1
torture 1
try 1
ultimately 1
unaware 1
up 1
use 2
usual 1
values 1
watch 1
way 1
were 1
where 1
which 1
while 1
who 4
will 4
with 5
words 1
written 1
