13992166
/m/03cqdb3
/m/03cqdb3
Karen Traviss

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
66 3
a 12
actions 1
adopted 1
agent 1
all 2
almost 1
along 3
also 1
among 1
an 1
and 16
angered 1
any 1
are 6
arla 1
arrive 1
as 3
authorities 2
band 1
battle 3
be 1
because 2
becomes 1
being 2
believes 1
besany 2
biological 2
biologically 1
bridge 1
bringing 1
broken 1
brother 2
bust 1
busting 1
but 3
by 8
caught 1
chancellor 1
children 1
chronologically 1
citizens 1
clone 7
clones 7
colonist 1
come 2
comm 1
commanders 1
commandos 1
coruscant 2
create 1
creating 1
crime 1
crowd 2
darman 8
data 2
daughter 1
debt 1
decide 1
despite 1
double 1
during 3
earlier 1
eg 1
emperor 1
empire 1
enactment 1
enacts 1
end 1
ensuing 1
etain 9
etc 1
extract 2
falsely 1
fellow 1
fett 5
files 1
finally 2
find 1
following 1
for 11
found 1
four 1
framing 1
free 1
friend 1
from 9
fruition 1
fugitive 1
future 2
galactic 1
geneticist 1
giving 1
grandchild 1
grieving 1
guise 1
gurlanins 1
hand 1
have 2
he 5
head 1
heal 1
her 5
him 3
his 5
home 2
however 2
humans 1
if 1
imperial 1
imprisoned 1
in 7
initially 1
insane 1
into 2
is 12
jango 2
jedi 6
jilka 2
just 2
kad 2
kal 2
kaminoan 1
keeping 1
key 1
kill 1
killed 4
ko 1
leave 1
lengthened 1
life 2
lightsaber 1
long 1
lost 2
machinations 1
major 1
managed 1
manages 1
mandalore 1
mandalorian 2
many 1
married 2
means 1
meanwhile 1
message 1
moments 1
must 1
near 1
new 1
niner 3
normal 1
not 1
now 4
of 11
off 1
old 3
omega 1
on 2
one 2
order 4
ordo 1
other 2
others 1
out 2
over 1
ovolot 1
palpatine 2
plan 1
planet 2
plans 1
played 1
positive 1
prior 1
prison 2
protects 1
qail 1
qiilura 1
quiet 1
reclaimed 1
renounced 1
repay 1
replaced 1
republic 5
role 1
ruusaan 1
sai 1
scanning 1
scientist 1
seem 1
sees 1
selfpromotion 1
separatist 1
set 1
she 1
since 1
sister 1
skirata 14
sneaking 1
son 2
sons 1
span 1
spans 1
spend 1
spine 1
squad 1
starts 1
stating 1
stay 1
stole 1
tells 1
thanks 1
that 6
the 30
their 4
then 2
they 2
theyre 1
this 2
though 1
three 1
time 3
to 17
traditional 1
trapped 1
treasury 1
troopers 1
trying 1
turmukan 1
two 1
ultimate 1
under 4
up 1
uthan 2
virus 1
wanted 2
war 1
wars 2
way 1
ways 1
wennen 1
when 3
which 1
who 5
wielding 1
wife 1
with 6
wound 1
wounded 2
years 3
zan 1
zentis 1
