3605167
/m/09pfky
/m/09pfky
Henry Mackenzie
1771
a 22
acquaintance 1
acquire 2
actually 1
advised 1
after 4
again 1
agree 1
almost 1
along 1
although 2
amiable 1
an 7
and 30
another 2
anything 1
approach 1
approached 1
approximately 1
are 2
argue 1
army 1
arrives 1
as 4
assigned 1
at 4
attempts 1
away 1
back 1
baronet 2
be 2
because 1
bedlam 1
been 1
before 1
beggar 2
begins 1
behalf 1
behest 1
being 1
benson 2
bill 1
both 1
boy 1
bread 1
bring 1
but 1
by 4
calls 1
cant 1
card 1
cards 1
chapters 2
charitable 1
charming 1
claim 2
claret 1
coach 1
collateral 1
commanders 1
companion 1
con 1
conclusion 1
confesses 1
conscription 1
constantly 1
continues 2
contracted 1
cooperate 1
corrupt 1
count 2
cynical 1
daughter 1
debt 1
debtor 1
demonstrates 1
despite 1
destroyed 1
details 1
die 1
dine 1
dining 1
disagree 1
discovering 1
discuss 1
discussing 3
disgust 1
distant 1
do 1
does 2
doesnt 1
dog 1
donating 1
each 1
edwards 3
effort 1
election 1
end 1
endeavour 1
entirety 1
episodes 1
exist 1
failed 1
fails 1
fallen 1
family 2
farmer 1
father 1
feeling 2
fellow 1
fever 1
few 1
figures 1
finanical 1
find 2
first 1
foot 1
for 10
formally 1
fortunetelling 1
fragmentary 1
from 3
games 1
gentleman 3
gentlemen 1
gives 2
go 1
going 1
grandchildren 2
guardians 1
had 1
hand 1
hands 1
happy 1
hard 1
harley 18
harry 1
has 3
having 1
he 6
hear 1
hears 1
her 7
him 6
himself 1
his 16
hold 1
home 3
honour 1
house 1
however 2
hunting 1
in 6
informed 2
inheritance 1
initial 1
inmate 1
introduction 1
is 11
it 1
its 2
itself 1
journeys 1
jumps 1
lack 1
land 3
later 1
latter 1
lease 2
leave 1
leaves 1
letter 1
life 1
living 1
locations 1
london 2
loses 1
loss 1
love 2
make 2
man 7
manuscript 3
many 1
married 1
marry 1
meet 1
meets 3
men 2
milan 2
military 1
miss 5
missing 2
misunderstanding 1
money 1
more 1
morning 1
mountford 2
mr 3
named 3
narrative 2
narrator 1
neighbour 1
next 2
not 1
novel 2
nursing 1
of 16
old 3
older 1
on 4
or 1
orphans 1
other 1
others 1
parents 1
part 1
passenger 1
patron 1
paying 1
pays 1
pensions 1
physiognomy 1
plays 1
pocket 1
poetry 1
presumably 1
priest 1
prison 1
proceeds 1
prostitute 1
provides 1
randomly 1
reaches 1
reason 1
recommended 1
reconciled 1
relative 2
remains 1
resources 1
returning 1
returns 1
reunites 1
revived 1
route 1
school 1
scorned 1
second 1
sedley 3
sell 1
several 1
she 1
should 1
sir 1
skill 2
so 2
some 3
son 1
soon 1
squire 1
stagecoach 1
story 3
stroll 1
takes 3
tale 1
tavern 1
ten 1
that 4
the 38
them 3
then 6
there 2
these 2
they 8
thirty 1
this 1
three 1
throughout 1
time 1
times 1
to 25
together 3
tom 1
towards 1
traded 1
two 4
unexplained 1
until 1
unwell 1
upon 2
urge 1
vanity 1
various 1
vice 1
village 2
visit 2
visits 2
vote 1
waiter 1
walton 7
warm 1
watch 1
way 2
ways 1
wealth 1
weeps 1
when 1
whereas 1
which 1
who 7
whom 1
with 13
within 1
young 1
