5539996
/m/0drljg
/m/0drljg
Paul Fleischman

1861 1
a 2
american 1
and 6
are 1
as 1
battle 1
battlefield 1
black 1
bodies 1
book 1
bull 1
by 1
characters 1
civil 2
clear 1
collection 1
depicted 1
describing 1
economic 1
eight 2
experiences 1
female 1
fictional 1
first 1
from 1
gender 1
gives 1
in 3
is 1
issues 1
male 1
medical 1
monologues 1
northern 1
novel 2
of 4
on 2
one 2
personal 1
race 1
real 1
regional 1
run 1
sixteen 1
social 1
southern 1
such 1
tensions 1
tents 1
the 6
their 1
this 1
throughout 1
to 1
vision 1
war 2
went 1
what 1
white 1
