1049941
/m/041m21
/m/041m21
Edward Abbey
1971
{"/m/0hfjk": "Western", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
1 1
10 1
23yearold 1
2yearold 1
300 1
300plus 1
37 1
50000 1
a 73
abandon 1
abbey 2
able 2
aboard 1
about 4
absolutely 1
admire 1
admits 4
admitting 1
afraid 1
after 6
again 4
ago 1
air 1
airport 2
all 3
alone 6
along 1
already 4
also 2
americans 1
an 4
and 72
another 4
answers 1
anyone 1
approaching 1
are 10
around 3
arrive 1
arrives 1
art 10
as 3
ask 2
asking 1
asks 12
asleep 2
at 14
attempt 1
available 1
avoid 1
away 3
bachelor 1
back 8
ballentine 1
bar 3
basis 1
bathroom 1
be 9
beach 1
beat 1
beating 1
because 5
bed 4
been 2
beer 1
before 4
begin 1
begs 1
behind 1
being 4
believe 2
believing 1
bend 1
black 1
blames 1
block 1
bodies 1
body 2
book 1
boss 1
both 3
breakfast 2
brief 1
bring 1
bus 1
but 19
buy 2
buzzards 1
by 6
cabin 4
cadet 1
calf 1
california 1
call 1
calling 2
calls 2
can 6
cant 2
canyon 4
car 6
carries 1
check 1
children 2
choice 1
circling 1
city 1
claire 1
clean 1
cliff 1
climb 3
climbing 1
climbs 1
close 2
closed 1
cloud 1
coffee 4
college 1
come 4
comes 2
coming 3
confessed 1
confesses 1
continue 1
conversation 2
cook 1
cooks 1
couch 1
could 2
couple 1
cow 1
coward 1
current 2
currently 1
cut 1
daily 1
dangerous 1
darnelle 3
day 2
days 4
dead 1
debates 1
decides 2
decision 1
deer 1
descend 1
desolation 1
devices 1
did 1
didnt 1
die 1
dine 1
dinner 2
disappointed 1
discovered 1
discuss 1
divided 1
do 4
does 5
doesnt 2
doing 1
down 1
downriver 1
dressed 1
drink 3
drinks 1
drive 4
drives 1
driving 4
drunk 3
during 3
dust 1
earlier 1
easy 1
eating 1
elsie 4
embarrassed 1
embrace 1
end 2
engaged 1
entered 1
even 3
evening 2
ever 2
every 2
example 1
excited 1
excitement 1
experienced 1
fact 1
fallen 1
falls 2
fares 1
fat 1
fear 1
female 1
few 3
fiance 2
fiancee 2
fight 2
fighting 1
figure 2
figured 1
filled 1
final 2
finally 4
find 1
finds 1
finished 1
fire 2
fires 3
first 3
fix 1
flies 1
flight 2
flirts 1
fly 1
flyer 1
flying 2
fond 1
for 31
force 1
forest 3
forgets 1
forgives 1
found 1
from 9
front 2
gas 1
gate 1
gatlin 1
gently 1
get 7
gets 4
getting 1
girl 2
give 1
gives 1
gloria 3
go 6
goes 3
going 7
gone 1
good 1
greeting 1
ground 1
group 1
growing 1
had 8
hand 1
