4202925
/m/0bprr3
/m/0bprr3
Steve Perry

{"/m/06n90": "Science Fiction"}
2 1
a 3
abilities 1
about 1
after 1
allenveloping 1
an 1
and 6
are 3
armor 1
as 1
barriss 1
battle 1
becomes 1
beleaguered 1
blood 1
casualties 1
clone 1
conflict 1
continue 1
desperate 1
despite 1
devoted 1
doctor 1
doctors 1
drongar 3
eccentric 1
engage 1
even 1
far 1
fierce 1
fight 1
flesh 1
forces 1
galaxy 1
genetic 1
geonosis 1
grow 1
havoc 1
healer 1
healing 1
ii 1
in 2
inevitable 1
is 3
jasserak 1
jedi 2
jos 1
jungles 1
limits 1
lot 1
med 1
medical 1
medstar 1
nurses 1
of 9
offee 1
on 3
option 1
overworked 1
padawan 1
patching 1
pedigree 1
place 1
planet 2
problem 1
republic 3
separatists 1
situation 1
small 1
soldiers 1
solution 1
steaming 1
still 1
story 1
superior 1
surgeons 1
takes 1
terrible 1
tested 1
the 20
this 2
throughout 1
to 4
together 1
troops 1
unit 1
unthinkable 1
vondar 1
wars 1
while 1
with 1
world 1
wreak 1
years 1
