12422700
/m/02w4v7j
/m/02w4v7j
Michael Connelly

25 1
500000 1
a 13
abducts 1
about 2
action 1
actually 1
adopted 1
adoption 1
adoptive 1
after 1
agent 1
all 2
allowing 1
allows 1
along 1
ambush 1
an 3
and 22
apparently 1
approaches 1
approved 1
are 1
arrive 1
arrives 1
as 5
asleep 1
assigns 1
at 3
attack 1
attempt 1
avoid 1
awaits 1
away 1
back 2
be 3
because 1
been 3
before 1
being 1
big 1
black 1
breaks 1
briefed 1
bring 1
brother 1
but 5
buy 2
by 2
cahoots 1
capabilities 1
captures 1
car 2
carrying 1
casino 2
cassie 23
cause 1
chicago 2
circumstances 1
cleo 5
cleopatra 1
commits 1
committed 1
commotion 1
concealed 1
conceived 1
confident 1
confronted 1
conspiring 1
containing 1
courier 2
crashes 1
crime 1
crimes 1
critically 1
cuban 1
customer 1
daughter 4
day 3
days 1
dead 2
dealership 1
death 2
decides 1
despite 1
development 1
devises 1
died 1
distracted 1
down 1
drives 2
due 1
during 3
earlier 1
elevator 1
enjoyable 1
equipment 1
exconvict 1
failed 2
five 1
for 12
forced 1
forcing 1
frame 1
freeling 1
from 1
future 1
gangsters 1
gets 1
go 1
grimaldi 4
had 4
half 1
has 3
have 2
he 4
heist 1
her 15
hiatus 1
hidden 1
high 1
him 4
hires 1
his 3
hold 1
home 1
hotel 2
hours 2
house 2
if 1
in 10
instead 2
into 1
investigator 1
involved 1
is 7
it 1
its 1
jack 11
job 1
jodie 10
karch 6
kill 1
killed 1
kills 1
la 1
last 2
later 3
learning 2
learns 2
leave 1
leo 7
life 2
long 1
mafia 3
mark 5
max 7
meanwhile 1
meeting 1
mess 1
miami 3
million 1
momentarily 1
money 7
moon 2
morning 2
motive 1
moving 1
much 1
name 1
named 1
near 1
never 2
next 1
now 1
obtains 1
occurred 1
of 17
off 1
officer 1
on 2
once 2
or 1
origin 1
other 1
out 5
over 1
own 1
owner 1
parents 2
paris 1
parole 1
partial 1
partnerincrime 1
pay 1
payoff 1
period 3
persuades 1
place 1
plan 3
planned 2
plans 1
police 2
porche 1
porsche 1
posed 1
poses 1
previous 1
prison 2
private 1
process 1
provide 1
push 1
put 1
realizes 1
recover 1
remain 1
remainder 1
renfro 2
requests 1
rescue 1
retrieve 1
return 1
returns 3
revealed 2
reveals 1
reward 1
ride 1
rights 1
roller 1
room 4
safe 1
same 1
search 1
served 2
set 1
setup 1
she 6
shot 1
showroom 1
silently 1
slip 1
some 1
soontobe 1
sort 1
split 1
steal 1
successfully 4
suicide 1
suitcase 2
supplier 1
surprise 1
surprises 1
suspects 1
take 1
taken 1
takes 1
that 9
the 65
theft 1
they 1
thief 1
things 1
this 2
three 1
throws 1
thugs 2
time 2
to 35
took 1
tracking 1
tracks 1
trade 1
two 1
unable 1
undercover 1
unforeseen 1
unknown 2
unnoticed 1
unpleasant 1
up 2
upon 1
using 1
victim 2
vincent 1
visitors 1
void 2
warns 1
was 6
way 2
weapon 1
wee 1
when 4
which 1
while 1
who 2
whole 1
will 3
window 2
winnings 1
with 7
works 1
would 1
wounds 1
years 1
