17589802
/m/04639z2
/m/04639z2
James Blaylock
2002
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 6
activities 1
actually 2
adventurer 1
airship 1
amid 1
an 2
and 7
are 2
areas 1
arise 1
arrive 1
as 3
at 2
be 1
before 1
begin 1
believed 1
bing 1
but 1
by 2
carefree 1
carried 1
center 1
centers 1
character 1
cheesemaker 1
christmas 1
competing 1
conclusions 1
crazed 1
curious 1
decide 1
del 1
described 1
device 1
discovered 1
distribute 1
diverges 1
dooly 1
doolys 1
downriver 2
downstream 1
editor 1
elfin 4
elves 2
encounter 1
events 1
evil 1
explanations 2
fail 1
fantasies 1
following 1
for 1
forces 1
found 1
frequently 1
from 3
given 1
goblins 1
going 1
gone 1
grandfather 1
have 1
having 1
haywire 1
here 1
heroes 3
him 1
histories 1
home 1
implausible 1
in 2
including 1
inexperienced 1
inexplicable 1
inexplicably 1
into 1
is 4
it 1
items 1
jonathan 1
kingdom 1
leaves 1
link 1
long 1
look 1
lush 1
magician 1
malevolent 1
men 1
miles 1
minor 1
misadventures 1
misguided 1
moments 1
moon 1
mysterious 2
object 1
of 2
on 2
organized 1
plot 2
professor 2
provides 1
reached 1
return 1
rewrite 1
rey 1
river 1
route 1
running 1
seaside 1
seen 1
shares 1
ship 3
ships 1
siege 1
significant 1
significantly 1
somewhat 1
stories 1
story 1
take 1
taken 1
test 1
the 22
their 2
them 1
there 1
they 4
this 1
through 1
to 11
townspeople 1
trading 2
treasure 2
treasurehunting 1
trip 2
under 1
unknown 1
valleys 1
weapon 1
what 1
when 1
wild 1
will 1
witches 1
with 2
wurzle 1
youngest 1
