16111851
/m/03y0545
/m/03y0545
Robert Muchamore
2008-08-07
{"/m/01jfsb": "Thriller", "/m/06wkf": "Spy fiction", "/m/0dwly": "Children's literature"}
0000 1
24 1
a 11
aborting 1
action 1
acts 1
adams 1
add 1
aerial 1
after 1
agents 2
air 1
all 1
almost 1
along 1
american 4
americans 1
an 4
and 10
antiamerican 1
are 7
area 1
army 1
around 1
arrest 1
arrive 1
as 5
asked 1
at 1
back 1
base 3
battalion 1
before 3
being 1
bitterly 1
blackjack 1
bodyguard 1
book 1
bradford 2
brief 1
british 1
but 1
by 6
calls 1
capture 1
caught 1
cause 1
centre 1
cherub 1
chris 1
christmas 1
civilians 1
come 1
commandos 1
compound 1
control 1
controlled 1
controversial 1
damage 1
day 1
days 1
despite 1
device 1
diarrhoea 1
disabled 1
drones 1
dropped 1
drunken 1
during 2
effective 1
end 1
engineer 1
everyone 1
exercise 5
exposed 1
first 1
fly 1
for 2
fort 1
forty 1
free 1
general 1
get 1
grenade 1
grenades 1
group 1
guards 1
gun 1
guns 1
have 2
having 1
he 2
his 2
hours 1
illegal 1
in 9
including 1
insurgents 3
into 1
is 3
james 6
join 1
kazakov 3
kevin 1
killed 2
knocking 1
largest 1
las 2
later 1
lauren 2
laxative 1
leader 2
leadership 1
leave 1
long 1
lot 1
make 1
mass 1
mathematical 1
means 1
meanwhile 1
meeting 1
military 1
miss 1
mission 2
move 1
new 1
ninetenths 1
of 7
off 1
on 2
only 2
organized 1
out 1
over 1
overrun 1
paint 2
part 2
persuade 1
persuades 1
plants 1
playing 1
point 1
police 1
posing 2
powerful 1
put 1
raf 1
raid 1
reagan 1
regarded 1
restarts 1
restricted 1
riot 1
sag 1
sarge 1
security 3
select 1
sent 1
shirley 1
sister 1
skills 1
sneak 1
so 1
soldiers 1
some 3
soon 1
spying 1
starts 1
still 1
storming 1
street 1
students 1
successful 1
successfully 1
sumner 1
supplier 1
surveillance 2
suspend 1
system 1
tactics 1
take 1
taking 1
team 1
test 1
that 2
the 28
their 1
them 1
they 4
this 2
though 1
thousand 1
time 1
to 13
traffic 1
trainer 1
training 1
troops 1
two 1
twoweek 1
ukrainian 1
under 1
unexpectedly 1
up 1
urban 1
use 1
vacation 1
vegas 2
violent 1
warfare 1
washed 1
water 1
way 1
weaknesses 1
weapons 1
who 2
winning 1
with 3
world 1
wrecking 1
year 1
you 1
younger 1
yourself 1
