2370475
/m/04ggf05
/m/04ggf05
Harry Turtledove
1999-02-09
163 1
a 7
active 1
addition 1
advancement 1
against 1
albeit 1
all 1
already 1
also 2
alternate 1
ambushes 1
among 1
an 2
and 10
answers 1
any 1
are 4
areas 1
armed 1
as 6
at 3
attack 2
attacker 1
aware 1
be 1
becomes 1
been 1
between 1
both 1
bringing 1
brings 1
but 3
by 3
can 1
capability 1
cause 1
causes 1
chaos 1
charles 1
china 2
city 1
civilians 1
cold 1
colonists 2
colonization 1
commanding 1
conquered 1
consequences 1
continue 1
controls 1
counterinsurgency 1
countries 1
de 1
deal 1
demand 1
deny 1
done 1
drug 1
each 1
earl 1
earth 5
east 2
efforts 1
eighteen 1
eighty 1
empire 1
encounter 1
end 2
enters 2
estrus 1
euphoric 1
expected 1
familiarity 1
females 2
few 1
first 2
fleet 3
fleetlord 1
following 1
for 3
forbidden 1
force 1
forces 3
formed 1
france 2
free 1
french 1
from 1
frustrated 1
furious 1
gaulle 1
germanoccupied 1
germany 3
ginger 1
go 1
guerrillas 1
have 4
heinrich 1
held 1
himmler 1
human 4
humans 1
hundred 1
identity 1
ii 1
iiera 1
imperial 1
in 10
independent 2
into 2
invaders 1
invasion 1
ireland 1
is 6
isolated 1
it 4
its 1
japan 1
khomeini 2
kills 1
lack 2
largescale 1
lead 1
leaders 1
leads 1
levels 1
male 1
males 1
mao 2
may 1
meanwhile 1
medieval 1
middle 2
million 1
millions 1
molotov 1
movements 1
much 1
nations 3
natives 1
nazi 1
neartotal 1
not 1
nothing 1
novel 3
nuclear 1
of 18
on 3
one 2
only 1
orbit 1
patrols 1
peace 1
popular 1
population 1
portions 1
premier 1
president 1
prove 1
race 13
regions 1
remain 1
remains 1
republic 1
resistance 4
respectively 1
responsible 1
revolts 1
ruhollah 1
satellite 1
series 1
set 1
settling 1
several 1
sharp 1
shown 1
smaller 1
social 1
solar 1
soldiers 1
soviet 1
space 1
staged 1
start 1
states 3
still 4
stop 1
storm 1
subtle 1
successful 1
such 2
support 2
system 1
tension 1
that 2
the 48
their 1
them 3
there 1
these 1
those 1
three 3
throwing 1
to 11
truth 1
two 1
unable 1
unaware 1
under 1
uneasy 1
union 1
united 3
unleashes 1
upswing 1
ussr 2
vyacheslav 1
wage 1
war 4
warfare 1
warren 1
was 1
when 1
which 2
while 2
who 2
with 6
world 2
worldwar 1
worse 1
years 1
zedong 2
