1432492
/m/0512pn
/m/0512pn
Hermann Hesse
1932
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 18
aberration 1
account 1
accuse 1
across 1
actually 1
adrift 1
advice 1
after 1
allowed 1
although 1
and 25
animals 1
anxiety 1
any 2
anyone 1
apparently 1
appear 1
appears 1
argument 1
as 3
at 3
attempt 1
baudelaire 1
be 4
becomes 1
before 1
believes 1
beloved 1
bench 1
bickering 1
blame 1
book 1
boots 1
both 1
branch 1
but 2
by 3
called 2
can 1
causing 1
character 1
characters 1
chooses 1
coherent 1
communication 1
contact 1
crisis 2
deal 1
dedie 1
deep 1
described 1
despair 1
disappears 2
discerning 1
discovers 1
disillusionment 1
disintegration 1
dismally 1
dissension 1
dissolves 1
dnouement 1
does 1
don 1
during 1
earlier 1
east 2
eastern 1
else 1
enlightening 1
entreaty 1
even 3
eventual 1
everyone 2
exists 1
failed 1
failure 2
faith 2
famous 1
ferryman 1
fictional 1
final 1
finally 1
finds 1
finest 1
first 1
flunked 1
for 1
friend 1
from 2
fun 1
geography 1
get 1
goes 1
gorge 1
great 1
grievances 1
group 6
h 4
handsome 1
happy 1
has 4
having 2
he 10
hesse 2
het 1
high 1
him 9
his 5
home 1
if 1
imaginary 1
impassioned 1
important 3
in 10
include 1
including 1
inferiore 2
instead 1
into 3
is 6
it 3
itil 1
its 1
journey 5
judged 1
klee 1
later 3
league 5
leo 7
letter 1
life 1
long 1
longer 1
lost 1
man 1
meets 1
member 1
members 1
missing 1
morbio 2
more 1
morgenland 1
morgenlandfahrt 1
morning 1
most 1
mountain 1
mozart 1
music 1
mysticism 1
naar 1
narrator 6
new 1
next 1
night 1
nlreis 1
no 1
nobody 1
nor 1
not 1
obedience 1
objects 1
of 21
offered 1
officials 1
on 2
once 1
one 2
or 1
oriente 1
out 2
park 1
part 1
pass 1
paul 1
pellegrinaggio 1
pilgrimage 2
plato 1
pleasant 1
plummet 1
point 1
posts 1
president 1
puss 1
put 1
pythagoras 1
quixote 1
rapport 1
rather 1
reader 1
real 2
recognized 1
reestablish 1
regard 1
religious 1
remorse 1
return 1
roman 1
runs 1
search 1
sect 1
seem 2
seems 2
servant 4
shandy 1
siddhartha 1
simple 3
since 1
sold 1
space 1
speaks 1
spent 1
story 1
stroke 1
such 1
sunk 1
surprise 1
taking 1
tells 1
test 2
than 1
that 3
the 39
they 4
thing 1
this 1
though 1
throne 1
through 1
time 2
timeless 1
to 19
together 1
traveling 1
trial 1
tries 1
tristram 1
truth 1
turn 2
turns 1
typical 1
uk 1
ultimate 1
unable 1
up 1
various 1
vasudeva 1
very 2
view 1
violin 1
was 3
what 1
when 2
which 7
who 1
whole 1
whose 1
why 1
with 5
wonder 1
works 1
write 1
writes 1
written 1
years 1
