11258391
/m/02r5c6n
/m/02r5c6n
Hugh Walters
1962
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 4
african 1
all 1
an 2
and 3
are 1
atmosphere 1
base 1
board 1
but 1
chris 1
collect 1
crashes 1
desert 1
discover 1
end 1
environment 2
forced 1
from 3
godfrey 1
grey 1
growth 1
hale 1
in 4
is 3
it 1
its 2
kant 1
killing 1
landing 1
launched 1
limits 1
lunaville 1
manned 1
mission 1
moon 1
morrey 1
mould 2
natural 1
new 1
now 1
on 1
permanent 1
pierre 1
plan 1
probe 1
quickly 1
required 1
returning 1
samples 1
scientist 1
sent 1
serge 1
smyslov 1
spore 1
spreading 1
the 6
thrives 1
to 3
tony 1
touches 1
try 1
unmanned 1
urgent 1
venus 2
venusian 2
what 1
