16899542
/m/0411lty
/m/0411lty
Ellen Hopkins
2008-08-26
{"/m/03mfnf": "Young adult literature"}
16yearold 1
a 1
abusing 1
after 1
alcohol 1
and 6
are 1
be 1
become 1
been 1
being 1
binge 1
bookjacket 1
both 1
but 2
can 1
congress 1
court 1
cuts 1
daddy 1
damaging 1
daughters 1
deep 1
desperate 1
district 1
drugs 1
every 1
everything 1
father 2
favorite 1
feel 1
figure 1
flower 1
for 1
from 1
girlher 1
girls 1
good 1
hard 1
has 2
he 1
her 1
herself 1
how 2
identical 1
is 1
judge 1
kaeleigh 2
lives 1
mother 1
must 1
nine 1
normal 1
norman 1
not 1
numb 1
of 3
on 1
out 1
pain 1
painkillers 1
perfect 2
politician 1
raeanne 2
rockwell 1
run 1
running 1
secrets 1
seems 1
sex 1
sexually 1
she 3
shreds 1
since 1
so 1
something 2
started 1
surface 1
the 5
their 2
they 1
to 5
torn 1
tried 1
twins 1
underneath 1
uses 1
vomits 1
was 1
when 1
whole 1
world 1
