2413751
/m/07bcyq
/m/07bcyq
Helen DeWitt
2000-09
a 6
about 1
advanced 1
akira 1
and 5
at 2
between 1
boy 1
brings 1
by 1
byways 1
child 1
combination 1
comes 1
consequences 1
disclose 1
father 1
for 2
genius 1
goes 1
greek 1
guide 1
has 1
he 2
heart 1
hebrew 1
him 2
his 3
homer 1
identity 1
in 4
influence 1
inuit 1
is 2
japanese 1
know 1
kurosawa 1
last 1
ludo 3
male 1
mathematics 1
mdash 1
missing 1
mother 2
navet 1
norse 1
of 1
old 1
on 1
original 1
peculiar 1
plays 1
prodigy 1
reading 2
refuses 1
relationship 1
samurai 2
search 2
seven 1
sibylla 4
single 1
some 1
somewhat 1
stand 1
starts 1
that 1
the 3
three 1
to 4
two 1
unexpected 1
unusually 1
up 1
upbringing 1
which 1
whose 2
young 1
