16524993
/m/03y975j
/m/03y975j
Andrea White
2005
0000 1
10000 1
14 1
2083 2
4000 1
a 10
about 1
acts 1
administer 1
advertisement 1
after 1
aka 1
all 1
also 2
america 1
an 3
and 10
andrew 1
antarctica 3
applicants 1
application 1
are 3
awfully 1
backgrounds 1
bad 1
be 1
billy 1
but 3
by 2
calamities 1
called 2
calls 1
camcorders 1
camera 2
chance 1
chosen 1
college 1
come 1
completely 1
completing 1
cooperate 1
country 1
crew 1
crews 1
department 1
depression 1
dice 1
different 2
doe 2
down 1
during 1
economy 1
education 1
edutv 3
eighth 2
eligible 1
employees 2
end 1
engage 1
entertainment 3
expect 1
expedition 1
extra 1
eyes 1
f 1
features 1
few 2
fill 1
film 1
five 3
for 4
from 2
frostbitten 1
full 1
further 1
game 1
gathers 1
get 1
given 1
goes 1
grace 1
grade 1
great 1
group 1
had 1
happen 1
happened 1
has 1
have 1
head 1
help 2
her 1
high 1
historical 3
history 1
hoovervilles 1
hoping 1
hot 2
however 1
hungry 1
in 9
instead 1
interactive 1
is 8
it 4
journey 1
kids 5
land 1
lessons 1
life 1
live 1
lucky 1
made 1
mandatory 1
middle 1
mini 1
misfortunes 1
most 3
must 1
mvp 1
new 1
night 1
nobody 1
nowhere 1
number 2
of 18
offers 1
on 4
one 2
only 1
or 1
others 1
out 4
parts 1
pay 2
people 1
person 1
place 1
placed 1
planned 1
player 1
polly 1
poor 1
popular 1
public 1
pure 1
quizzes 1
reenact 2
replaced 1
required 1
robert 2
rolls 1
sabotage 1
sauce 2
scholarship 1
scholarships 1
school 1
schools 1
scott 2
screen 1
secretary 4
see 1
series 2
shacks 1
she 1
shift 1
show 1
shut 1
similar 1
so 1
social 1
sponsored 1
states 1
studieshistory 1
survive 1
surviving 1
survivor 3
takes 1
television 1
televisioncrazed 1
that 3
the 28
their 2
them 1
these 1
they 3
through 1
to 17
toss 1
tragedies 1
two 1
unbeknownst 1
united 1
unlike 1
up 2
valuable 1
very 1
walks 1
way 1
which 2
whoever 1
will 3
wishing 1
with 2
would 1
year 3
yearold 1
